threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.05,0.2544403,0.7235,0.901833873,0.5016,0.644647218,0.0546,,,,,,,,,
0.03,0.25485337,0.7233,0.900897666,0.5018,0.644572897,0.0552,,,,,,,,,
0.04,0.2544403,0.7233,0.901185771,0.5016,0.644481562,0.055,,,,,,,,,
0.06,0.25402725,0.7234,0.901798561,0.5014,0.644473008,0.0546,,,,,,,,,
0.07,0.25402725,0.7233,0.901763224,0.5012,0.644298753,0.0546,,,,,,,,,
0.08,0.25402725,0.7234,0.902667628,0.5008,0.644198611,0.054,,,,,,,,,
0.09,0.25402725,0.7232,0.902597403,0.5004,0.643849717,0.054,,,,,,,,,
0.1,0.25361422,0.7231,0.902562252,0.5002,0.643675203,0.054,,,,,,,,,
0.11,0.25320116,0.7231,0.902562252,0.5002,0.643675203,0.054,,,,,,,,,
0.12,0.2527881,0.723,0.902527076,0.5,0.643500644,0.054,,,,,,,,,
0.13,0.2527881,0.723,0.902527076,0.5,0.643500644,0.054,,,,,,,,,
0.16,0.25237507,0.7231,0.903435805,0.4996,0.643399871,0.0534,,,,,,,,,
0.17,0.25237507,0.7231,0.903435805,0.4996,0.643399871,0.0534,,,,,,,,,
0.14,0.2527881,0.7229,0.902491874,0.4998,0.643326039,0.054,,,,,,,,,
0.15,0.2527881,0.723,0.903109183,0.4996,0.643317023,0.0536,,,,,,,,,
0.18,0.25154895,0.7225,0.903225806,0.4984,0.642350818,0.0534,,,,,,,,,
0.19,0.25154895,0.7224,0.903190718,0.4982,0.642175819,0.0534,,,,,,,,,
0.2,0.25154895,0.7224,0.903483309,0.498,0.642083548,0.0532,,,,,,,,,
0.21,0.25154895,0.7224,0.903483309,0.498,0.642083548,0.0532,,,,,,,,,
0.22,0.25154895,0.7224,0.903483309,0.498,0.642083548,0.0532,,,,,,,,,
0.23,0.25154895,0.7223,0.903448276,0.4978,0.641908446,0.0532,,,,,,,,,
0.24,0.25072286,0.7222,0.903413217,0.4976,0.641733299,0.0532,,,,,,,,,
0.25,0.25072286,0.7222,0.903706395,0.4974,0.641640867,0.053,,,,,,,,,
0.26,0.25072286,0.7221,0.903671392,0.4972,0.641465617,0.053,,,,,,,,,
0.27,0.2503098,0.7221,0.903965078,0.497,0.64137308,0.0528,,,,,,,,,
0.3,0.24948369,0.7221,0.904553734,0.4966,0.641187863,0.0524,,,,,,,,,
0.28,0.24948369,0.722,0.904224326,0.4966,0.641105086,0.0526,,,,,,,,,
0.29,0.24948369,0.722,0.904224326,0.4966,0.641105086,0.0526,,,,,,,,,
0.31,0.24948369,0.7204,0.903958944,0.4932,0.638198758,0.0524,,,,,,,,,
0.32,0.24948369,0.7196,0.903676471,0.4916,0.636787565,0.0524,,,,,,,,,
0.33,0.24948369,0.7186,0.903321033,0.4896,0.635019455,0.0524,,,,,,,,,
0.34,0.24948369,0.7186,0.903618907,0.4894,0.634924754,0.0522,,,,,,,,,
0.35,0.24907063,0.7178,0.903333333,0.4878,0.633506494,0.0522,,,,,,,,,
0.36,0.24907063,0.717,0.903046062,0.4862,0.632085283,0.0522,,,,,,,,,
0.37,0.24907063,0.7166,0.902901786,0.4854,0.631373569,0.0522,,,,,,,,,
0.38,0.24907063,0.7162,0.90305742,0.4844,0.630564957,0.052,,,,,,,,,
0.39,0.24865758,0.715,0.902621723,0.482,0.628422425,0.052,,,,,,,,,
0.4,0.24783148,0.7144,0.902402402,0.4808,0.627348643,0.052,,,,,,,,,
0.45,0.24741842,0.7143,0.902971042,0.4802,0.626974801,0.0516,,,,,,,,,
0.44,0.24741842,0.7142,0.902631579,0.4802,0.62689295,0.0518,,,,,,,,,
0.46,0.24741842,0.7143,0.90327437,0.48,0.626877367,0.0514,,,,,,,,,
0.41,0.24741842,0.7141,0.902292371,0.4802,0.626811121,0.052,,,,,,,,,
0.42,0.24741842,0.7141,0.902292371,0.4802,0.626811121,0.052,,,,,,,,,
0.43,0.24741842,0.7141,0.902292371,0.4802,0.626811121,0.052,,,,,,,,,
0.47,0.24741842,0.7142,0.903237952,0.4798,0.626698015,0.0514,,,,,,,,,
0.48,0.24700537,0.7142,0.903237952,0.4798,0.626698015,0.0514,,,,,,,,,
0.49,0.24700537,0.7142,0.903237952,0.4798,0.626698015,0.0514,,,,,,,,,
0.5,0.24700537,0.714,0.903165034,0.4794,0.626339169,0.0514,,,,,,,,,
0.52,0.24659231,0.714,0.90346908,0.4792,0.626241505,0.0512,,,,,,,,,
0.51,0.24659231,0.7139,0.903128534,0.4792,0.626159676,0.0514,,,,,,,,,
0.53,0.24617927,0.7139,0.903432667,0.479,0.626061953,0.0512,,,,,,,,,
0.54,0.24576621,0.7137,0.903359758,0.4786,0.625702706,0.0512,,,,,,,,,
0.55,0.244114,0.7136,0.903628118,0.4782,0.625425059,0.051,,,,,,,,,
0.56,0.24328789,0.7136,0.903628118,0.4782,0.625425059,0.051,,,,,,,,,
0.57,0.24328789,0.7135,0.903591682,0.478,0.625245258,0.051,,,,,,,,,
0.58,0.2416357,0.7132,0.90348221,0.4774,0.624705574,0.051,,,,,,,,,
0.59,0.23957042,0.7132,0.904094011,0.477,0.624509034,0.0506,,,,,,,,,
0.6,0.23833127,0.7131,0.904057641,0.4768,0.624328925,0.0506,,,,,,,,,
0.61,0.23791821,0.7129,0.90398482,0.4764,0.623968566,0.0506,,,,,,,,,
0.62,0.23709211,0.7128,0.903948368,0.4762,0.623788315,0.0506,,,,,,,,,
0.63,0.23667906,0.7126,0.90387538,0.4758,0.623427673,0.0506,,,,,,,,,
0.64,0.236266,0.7124,0.903802281,0.4754,0.623066841,0.0506,,,,,,,,,
0.65,0.23461379,0.7123,0.90376569,0.4752,0.622886355,0.0506,,,,,,,,,
0.66,0.23378769,0.7122,0.903729072,0.475,0.622705821,0.0506,,,,,,,,,
0.67,0.23296158,0.7119,0.903619048,0.4744,0.622163934,0.0506,,,,,,,,,
0.68,0.23254853,0.7117,0.903545559,0.474,0.62180244,0.0506,,,,,,,,,
0.69,0.23254853,0.7117,0.903545559,0.474,0.62180244,0.0506,,,,,,,,,
0.7,0.23172243,0.7115,0.903471957,0.4736,0.621440756,0.0506,,,,,,,,,
