radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,radius,count,Accuracy,Precision,Recall,FPR,Unknown Coverage,F1
0.22,320,0,0.4994,0.125,0.0002,0.000399361,0.0014,,,,,,,,,
0.03,150,0,0.499,0.083333333,0.0002,0.000399042,0.0022,,,,,,,,,
0.01,460,0,0.4672,0.003030303,0.0002,0.000375235,0.0658,,,,,,,,,
0.01,150,0.0001,0.4656,0.002890173,0.0002,0.000374111,0.069,,,,,,,,,
0.01,10,0,0.5,0,0,0,0,,,,,,,,,
0.01,20,0,0.5,0,0,0,0,,,,,,,,,
0.01,40,0,0.5,0,0,0,0,,,,,,,,,
0.01,50,0,0.5,0,0,0,0,,,,,,,,,
0.01,60,0,0.5,0,0,0,0,,,,,,,,,
0.01,80,0,0.5,0,0,0,0,,,,,,,,,
0.01,90,0,0.5,0,0,0,0,,,,,,,,,
0.01,100,0,0.5,0,0,0,0,,,,,,,,,
0.01,110,0,0.5,0,0,0,0,,,,,,,,,
0.01,120,0,0.5,0,0,0,0,,,,,,,,,
0.01,140,0,0.5,0,0,0,0,,,,,,,,,
0.01,160,0,0.5,0,0,0,0,,,,,,,,,
0.01,170,0,0.5,0,0,0,0,,,,,,,,,
0.01,180,0,0.5,0,0,0,0,,,,,,,,,
0.01,190,0,0.5,0,0,0,0,,,,,,,,,
0.01,200,0,0.5,0,0,0,0,,,,,,,,,
0.01,220,0,0.5,0,0,0,0,,,,,,,,,
0.01,230,0,0.5,0,0,0,0,,,,,,,,,
0.01,240,0,0.5,0,0,0,0,,,,,,,,,
0.01,250,0,0.5,0,0,0,0,,,,,,,,,
0.01,290,0,0.5,0,0,0,0,,,,,,,,,
0.01,300,0,0.4999,0,0,0,0.0002,,,,,,,,,
0.01,310,0,0.5,0,0,0,0,,,,,,,,,
0.01,320,0,0.5,0,0,0,0,,,,,,,,,
0.01,330,0,0.4993,0,0,0,0.0014,,,,,,,,,
0.01,340,0,0.5,0,0,0,0,,,,,,,,,
0.01,350,0,0.5,0,0,0,0,,,,,,,,,
0.01,370,0,0.5,0,0,0,0,,,,,,,,,
0.01,380,0,0.5,0,0,0,0,,,,,,,,,
0.01,390,0,0.5,0,0,0,0,,,,,,,,,
0.01,400,0,0.5,0,0,0,0,,,,,,,,,
0.01,410,0,0.5,0,0,0,0,,,,,,,,,
0.01,420,0,0.5,0,0,0,0,,,,,,,,,
0.01,430,0,0.5,0,0,0,0,,,,,,,,,
0.01,450,0,0.5,0,0,0,0,,,,,,,,,
0.01,470,0,0.5,0,0,0,0,,,,,,,,,
0.01,480,0,0.5,0,0,0,0,,,,,,,,,
0.01,490,0,0.5,0,0,0,0,,,,,,,,,
0.01,500,0,0.5,0,0,0,0,,,,,,,,,
0.02,30,0,0.5,0,0,0,0,,,,,,,,,
0.02,40,0,0.4996,0,0,0,0.0008,,,,,,,,,
0.02,50,0,0.5,0,0,0,0,,,,,,,,,
0.02,60,0,0.5,0,0,0,0,,,,,,,,,
0.02,80,0,0.5,0,0,0,0,,,,,,,,,
0.02,90,0,0.5,0,0,0,0,,,,,,,,,
0.02,110,0,0.5,0,0,0,0,,,,,,,,,
0.02,130,0,0.5,0,0,0,0,,,,,,,,,
0.02,140,0,0.5,0,0,0,0,,,,,,,,,
0.02,150,0,0.5,0,0,0,0,,,,,,,,,
0.02,160,0,0.5,0,0,0,0,,,,,,,,,
0.02,170,0,0.5,0,0,0,0,,,,,,,,,
0.02,200,0,0.4999,0,0,0,0.0002,,,,,,,,,
0.02,210,0,0.5,0,0,0,0,,,,,,,,,
0.02,220,0,0.4999,0,0,0,0.0002,,,,,,,,,
0.02,240,0,0.5,0,0,0,0,,,,,,,,,
0.02,250,0,0.5,0,0,0,0,,,,,,,,,
0.02,260,0,0.5,0,0,0,0,,,,,,,,,
0.02,270,0,0.5,0,0,0,0,,,,,,,,,
0.02,280,0,0.4996,0,0,0,0.0008,,,,,,,,,
0.02,290,0,0.5,0,0,0,0,,,,,,,,,
0.02,300,0,0.5,0,0,0,0,,,,,,,,,
0.02,310,0,0.5,0,0,0,0,,,,,,,,,
0.02,320,0,0.4995,0,0,0,0.001,,,,,,,,,
0.02,330,0,0.5,0,0,0,0,,,,,,,,,
0.02,350,0,0.5,0,0,0,0,,,,,,,,,
0.02,370,0,0.5,0,0,0,0,,,,,,,,,
0.02,380,0,0.5,0,0,0,0,,,,,,,,,
0.02,400,0,0.5,0,0,0,0,,,,,,,,,
0.02,410,0,0.5,0,0,0,0,,,,,,,,,
0.02,440,0,0.5,0,0,0,0,,,,,,,,,
0.02,460,0,0.5,0,0,0,0,,,,,,,,,
0.02,470,0,0.5,0,0,0,0,,,,,,,,,
0.02,480,0,0.5,0,0,0,0,,,,,,,,,
0.03,10,0,0.5,0,0,0,0,,,,,,,,,
0.03,20,0,0.5,0,0,0,0,,,,,,,,,
0.03,30,0,0.5,0,0,0,0,,,,,,,,,
0.03,50,0,0.5,0,0,0,0,,,,,,,,,
0.03,60,0,0.5,0,0,0,0,,,,,,,,,
0.03,70,0,0.5,0,0,0,0,,,,,,,,,
0.03,90,0,0.4999,0,0,0,0.0002,,,,,,,,,
0.03,100,0,0.5,0,0,0,0,,,,,,,,,
0.03,110,0,0.5,0,0,0,0,,,,,,,,,
0.03,130,0,0.5,0,0,0,0,,,,,,,,,
0.03,160,0,0.5,0,0,0,0,,,,,,,,,
0.03,180,0,0.5,0,0,0,0,,,,,,,,,
0.03,190,0,0.5,0,0,0,0,,,,,,,,,
0.03,200,0,0.5,0,0,0,0,,,,,,,,,
