threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate
2.36,0.90909094,0.8232,0.847826087,0.7878,0.81671159,0.1414
1.1,1,0.7884,0.720691766,0.9418,0.816542396,0.365
1.13,1,0.7886,0.721522874,0.94,0.816397429,0.3628
1.12,1,0.7884,0.721097823,0.9406,0.816351328,0.3638
1.11,1,0.7881,0.720698636,0.9408,0.81617073,0.3646
2.42,0.90909094,0.8239,0.853834389,0.7816,0.816121959,0.1338
1.07,1,0.7874,0.718988113,0.9436,0.816121778,0.3688
1.08,1,0.7875,0.719298246,0.943,0.816096928,0.368
2.38,0.90909094,0.8229,0.848779434,0.7858,0.816076436,0.14
2.37,0.90909094,0.8227,0.847962044,0.7864,0.816021583,0.141
1.09,1,0.7875,0.719566214,0.9422,0.815969516,0.3672
1.06,1,0.787,0.718350578,0.9442,0.815935016,0.3702
1.05,1,0.7867,0.717824039,0.9448,0.815819014,0.3714
2.39,0.90909094,0.8227,0.849166847,0.7848,0.815715622,0.1394
2.4,0.90909094,0.8229,0.850292905,0.7838,0.815693621,0.138
1.04,1,0.7861,0.716972547,0.9454,0.815492107,0.3732
2.41,0.90909094,0.8227,0.850989776,0.7824,0.815254767,0.137
1.03,1,0.7856,0.716363636,0.9456,0.815172414,0.3744
2.43,0.90909094,0.823,0.85354641,0.7798,0.815008361,0.1338
1.02,1,0.7853,0.715972748,0.9458,0.814993537,0.3752
1.01,1,0.7851,0.715495087,0.9466,0.814980628,0.3764
2.46,0.90909094,0.8234,0.856324372,0.7772,0.81484588,0.1304
2.44,0.90909094,0.823,0.854477612,0.7786,0.814776057,0.1326
2.45,0.90909094,0.8231,0.855445545,0.7776,0.814667365,0.1314
0.98,1,0.7842,0.714006024,0.9482,0.814604811,0.3798
0.97,1,0.784,0.713598075,0.9488,0.81456044,0.3808
2.47,0.90909094,0.8234,0.857585139,0.7756,0.814534762,0.1288
1,1,0.7843,0.714566038,0.9468,0.814451613,0.3782
1,1,0.7843,0.714566038,0.9468,0.814451613,0.3782
2.48,0.90909094,0.8234,0.858218875,0.7748,0.81437881,0.128
0.99,1,0.7841,0.714221083,0.9472,0.814375376,0.379
0.96,1,0.7836,0.713040865,0.9492,0.814344544,0.382
0.95,1,0.7834,0.712698889,0.9496,0.814268565,0.3828
2.55,0.90909094,0.8244,0.864167041,0.7698,0.814258515,0.121
2.58,0.90909094,0.8247,0.865900383,0.7684,0.814241814,0.119
0.86,1,0.7825,0.710600865,0.9532,0.814213718,0.3882
2.59,0.90909094,0.8247,0.866230544,0.768,0.814163045,0.1186
0.74,1,0.781,0.707104953,0.9594,0.814154786,0.3974
0.85,1,0.7823,0.710263668,0.9536,0.814138137,0.389
0.8,1,0.7816,0.708716276,0.9562,0.814064362,0.393
0.76,1,0.7812,0.707803725,0.9578,0.814040456,0.3954
0.79,1,0.7815,0.708549415,0.9564,0.814026726,0.3934
2.51,0.90909094,0.8235,0.860325239,0.7724,0.813995152,0.1254
2.54,0.90909094,0.824,0.86306589,0.7702,0.813992813,0.1222
0.87,1,0.7823,0.710577353,0.9526,0.813979322,0.388
2.49,0.90909094,0.8232,0.858792185,0.7736,0.813973064,0.1272
0.75,1,0.7809,0.707245094,0.9586,0.813959412,0.3968
2.57,0.90909094,0.8243,0.864956111,0.7686,0.813936249,0.12
0.84,1,0.7819,0.709715816,0.954,0.813923727,0.3902
0.78,1,0.7813,0.708277802,0.9566,0.81391985,0.394
0.77,1,0.7812,0.708049719,0.957,0.813913931,0.3946
2.69,0.90909094,0.8261,0.875258918,0.7606,0.813911182,0.1084
0.72,1,0.7804,0.706176471,0.9604,0.813898305,0.3996
0.91,1,0.7825,0.711230746,0.9512,0.813895782,0.3862
2.56,0.90909094,0.8242,0.864597391,0.7688,0.813889477,0.1204
0.94,1,0.7828,0.711994003,0.9498,0.813881748,0.3842
2.7,0.90909094,0.8262,0.875979714,0.76,0.813878775,0.1076
0.73,1,0.7806,0.706688273,0.9594,0.813878521,0.3982
0.93,1,0.7826,0.711590296,0.9504,0.813837986,0.3852
2.6,0.90909094,0.8245,0.866501016,0.7672,0.813832608,0.1182
0.88,1,0.7822,0.710659898,0.952,0.813814327,0.3876
0.71,1,0.7802,0.705908289,0.9606,0.813791935,0.4002
0.89,1,0.7822,0.71072282,0.9518,0.81378249,0.3874
