self_radius,self_count,uc,accuracy,precision,recall,f1,far,,,,,,,,,,
0.02,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.03,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.03,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.04,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.04,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.05,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.05,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.06,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.06,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.07,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.07,2,0.999755441,0.5004,0.50020028,0.999,0.666622181,0.9982,,,,,,,,,,
0.08,1,0.999510883,0.4999,0.499949985,0.9996,0.666533307,0.9998,,,,,,,,,,
0.17,11,0.721447787,0.6699,0.673402735,0.6598,0.666531973,0.32,,,,,,,,,,
0.09,1,0.999755441,0.4998,0.49989998,0.9996,0.666488865,1,,,,,,,,,,
0.18,9,0.746148202,0.6629,0.659674574,0.673,0.666270666,0.3472,,,,,,,,,,
0.02,3,0.998777207,0.4995,0.499749875,0.999,0.666222074,1,,,,,,,,,,
0.2,5,0.681095622,0.6837,0.705251397,0.6312,0.666174142,0.2638,,,,,,,,,,
0.28,3,0.75348496,0.6624,0.659090909,0.6728,0.665874901,0.348,,,,,,,,,,
0.03,3,0.999510883,0.4991,0.499549595,0.9982,0.665866186,1,,,,,,,,,,
0.09,2,0.998043531,0.4988,0.499399038,0.9972,0.665509877,0.9996,,,,,,,,,,
0.08,2,0.999021766,0.4989,0.499448843,0.9968,0.665464984,0.999,,,,,,,,,,
0.01,7,0.993396919,0.5049,0.502500255,0.9848,0.665450368,0.975,,,,,,,,,,
0.02,4,0.997554414,0.4985,0.499248873,0.997,0.665331999,1,,,,,,,,,,
0.1,1,0.999021766,0.4984,0.499198397,0.9964,0.665153538,0.9996,,,,,,,,,,
0.01,4,0.995597946,0.4987,0.49934811,0.9958,0.665152628,0.9984,,,,,,,,,,
0.43,1,0.681829298,0.6822,0.70298574,0.631,0.66505059,0.2666,,,,,,,,,,
0.01,6,0.993886036,0.5005,0.500252296,0.9914,0.664967469,0.9904,,,,,,,,,,
0.19,8,0.758865248,0.6562,0.648535565,0.682,0.664846949,0.3696,,,,,,,,,,
0.03,4,0.994619711,0.4979,0.49894779,0.9958,0.664797383,1,,,,,,,,,,
0.01,5,0.997065297,0.4983,0.499146843,0.9946,0.664706275,0.998,,,,,,,,,,
0.11,1,0.997798973,0.4986,0.499296765,0.994,0.664705096,0.9968,,,,,,,,,,
0.34,2,0.742235265,0.6622,0.659960552,0.6692,0.664548163,0.3448,,,,,,,,,,
0.12,1,0.994375153,0.5004,0.500202429,0.9884,0.664247312,0.9876,,,,,,,,,,
0.04,3,0.995597946,0.4973,0.498644986,0.9936,0.66403796,0.999,,,,,,,,,,
0.22,7,0.719002201,0.6652,0.666599435,0.661,0.663787909,0.3306,,,,,,,,,,
0.21,7,0.741012472,0.6614,0.659612342,0.667,0.663285601,0.3442,,,,,,,,,,
0.22,13,0.692589875,0.6691,0.675524185,0.6508,0.662931649,0.3126,,,,,,,,,,
0.14,1,0.988261189,0.5063,0.503267974,0.9702,0.662750188,0.9576,,,,,,,,,,
0.13,1,0.992418684,0.5001,0.500050953,0.9814,0.662526159,0.9812,,,,,,,,,,
0.27,11,0.563462949,0.6986,0.753575077,0.5902,0.661956034,0.193,,,,,,,,,,
0.31,12,0.338469063,0.7301,0.885944314,0.5282,0.661821827,0.068,,,,,,,,,,
0.01,8,0.989973099,0.4967,0.498329114,0.9842,0.661647059,0.9908,,,,,,,,,,
0.05,3,0.992418684,0.4941,0.497030102,0.9874,0.661220117,0.9992,,,,,,,,,,
0.1,2,0.989239423,0.5025,0.501291456,0.9704,0.661080455,0.9654,,,,,,,,,,
0.15,1,0.982147224,0.508,0.504206984,0.9588,0.660876758,0.9428,,,,,,,,,,
0.37,8,0.487649792,0.7275,0.875288684,0.5306,0.660689827,0.0756,,,,,,,,,,
0.46,9,0.420151626,0.7356,0.921919771,0.5148,0.660677618,0.0436,,,,,,,,,,
0.04,4,0.988994864,0.4932,0.496575342,0.986,0.660503751,0.9996,,,,,,,,,,
0.32,2,0.748838347,0.6546,0.649690163,0.671,0.66017316,0.3618,,,,,,,,,,
0.02,10,0.989239423,0.4947,0.497312646,0.9808,0.659982505,0.9914,,,,,,,,,,
0.06,3,0.991195891,0.493,0.496463932,0.9828,0.659685864,0.9968,,,,,,,,,,
0.16,9,0.764734654,0.6447,0.633069708,0.6884,0.659576507,0.399,,,,,,,,,,
0.24,6,0.428711176,0.7137,0.813435025,0.5546,0.659531454,0.1272,,,,,,,,,,
0.25,4,0.510393739,0.7086,0.793142215,0.5644,0.659499883,0.1472,,,,,,,,,,
0.16,1,0.981413549,0.5088,0.50466893,0.9512,0.659456461,0.9336,,,,,,,,,,
0.01,11,0.975544143,0.504,0.502091613,0.9602,0.659387447,0.9522,,,,,,,,,,
0.14,6,0.776228907,0.633,0.615211365,0.7102,0.659301894,0.4442,,,,,,,,,,
0.02,6,0.988750306,0.4942,0.497048646,0.9768,0.658842574,0.9884,,,,,,,,,,
0.07,3,0.987282954,0.4912,0.495560936,0.9824,0.658798283,1,,,,,,,,,,
0.11,2,0.981902666,0.5039,0.502046385,0.9568,0.658544979,0.949,,,,,,,,,,
0.17,1,0.977500611,0.51,0.505347594,0.945,0.658536585,0.925,,,,,,,,,,
0.19,13,0.74492541,0.6544,0.65078125,0.6664,0.658498024,0.3576,,,,,,,,,,
0.24,11,0.641966251,0.6863,0.722580645,0.6048,0.658464888,0.2322,,,,,,,,,,
0.01,15,0.977256053,0.5021,0.501097064,0.9592,0.658293871,0.955,,,,,,,,,,
0.01,9,0.980924431,0.4955,0.497691124,0.97,0.657850119,0.979,,,,,,,,,,
