self_radius,self_count,uc,accuracy,precision,recall,f1,far,,,,,,,,,
0.1,2,0.998522895,0.5009,0.500461586,0.9758,0.661604177,0.974,,,,,,,,,
0.01,94,0.918759232,0.6033,0.576917349,0.7748,0.661374306,0.5682,,,,,,,,,
0.26,7,0.843426883,0.6737,0.687621517,0.6366,0.661127843,0.2892,,,,,,,,,
0.26,2,0.917282127,0.64,0.624643875,0.7016,0.660889224,0.4216,,,,,,,,,
0.02,6,0.966026588,0.4955,0.49772198,0.9832,0.660885931,0.9922,,,,,,,,,
0.23,5,0.905465288,0.6695,0.678609062,0.644,0.660851719,0.305,,,,,,,,,
0.02,5,0.973412112,0.4935,0.49672346,0.9854,0.660500034,0.9984,,,,,,,,,
0.01,17,0.970457903,0.4997,0.499845472,0.9704,0.659821854,0.971,,,,,,,,,
0.02,8,0.982274742,0.4977,0.498822083,0.974,0.659757502,0.9786,,,,,,,,,
0.01,6,0.983751846,0.4976,0.498768978,0.9724,0.65934364,0.9772,,,,,,,,,
0.56,3,0.677991137,0.7309,0.899066713,0.5202,0.659064994,0.0584,,,,,,,,,
0.01,8,0.991137371,0.5,0.5,0.9662,0.658982403,0.9662,,,,,,,,,
0.04,4,0.983751846,0.493,0.496452463,0.9796,0.658953316,0.9936,,,,,,,,,
0.17,13,0.914327917,0.6528,0.647775629,0.6698,0.658603736,0.3642,,,,,,,,,
0.18,7,0.905465288,0.6473,0.638206042,0.6802,0.658534224,0.3856,,,,,,,,,
0.12,2,1,0.4993,0.499637794,0.9656,0.658528268,0.967,,,,,,,,,
0.03,5,0.955686854,0.4912,0.495543853,0.9786,0.657926583,0.9962,,,,,,,,,
0.17,1,1,0.512,0.506476684,0.9384,0.657879978,0.9144,,,,,,,,,
0.01,5,0.977843427,0.4933,0.496582679,0.9736,0.657704519,0.987,,,,,,,,,
0.16,1,1,0.5122,0.506596021,0.937,0.657636159,0.9126,,,,,,,,,
0.19,15,0.914327917,0.654,0.651098901,0.6636,0.657290016,0.3556,,,,,,,,,
0.01,12,0.949778434,0.49,0.494939271,0.978,0.657258065,0.998,,,,,,,,,
0.01,10,0.951255539,0.4921,0.495971443,0.9726,0.656940223,0.9884,,,,,,,,,
0.07,3,0.980797637,0.4916,0.495721271,0.9732,0.656857451,0.99,,,,,,,,,
0.2,9,0.892171344,0.6768,0.700181159,0.6184,0.65675446,0.2648,,,,,,,,,
0.01,13,0.973412112,0.4919,0.495861012,0.9704,0.656340886,0.9866,,,,,,,,,
0.15,11,0.920236337,0.6352,0.620585087,0.6958,0.656043749,0.4254,,,,,,,,,
0.01,11,0.964549483,0.501,0.500525984,0.9516,0.656004412,0.9496,,,,,,,,,
0.13,2,0.991137371,0.5083,0.504468612,0.937,0.655840974,0.9204,,,,,,,,,
0.18,1,1,0.5182,0.510113359,0.918,0.655807973,0.8816,,,,,,,,,
0.26,3,0.748892171,0.6945,0.751227073,0.5816,0.655619434,0.1926,,,,,,,,,
0.01,7,0.992614476,0.4947,0.497258715,0.9614,0.655485103,0.972,,,,,,,,,
0.02,13,0.968980798,0.4977,0.498799457,0.9556,0.655463338,0.9602,,,,,,,,,
0.19,5,0.917282127,0.6462,0.638867781,0.6726,0.655300078,0.3802,,,,,,,,,
0.21,7,0.917282127,0.6461,0.63895758,0.6718,0.654967339,0.3796,,,,,,,,,
0.18,3,0.917282127,0.5996,0.575454545,0.7596,0.654827586,0.5604,,,,,,,,,
0.18,5,0.915805022,0.645,0.637206662,0.6734,0.654803578,0.3834,,,,,,,,,
0.01,77,0.94239291,0.5985,0.574294765,0.7614,0.654742454,0.5644,,,,,,,,,
0.04,8,0.949778434,0.4976,0.498743192,0.9524,0.654660434,0.9572,,,,,,,,,
0.21,12,0.902511078,0.6519,0.649596218,0.6596,0.654559889,0.3558,,,,,,,,,
0.2,13,0.908419498,0.6597,0.664605236,0.6448,0.654552837,0.3254,,,,,,,,,
0.03,9,0.991137371,0.5027,0.501438466,0.9412,0.654292666,0.9358,,,,,,,,,
0.03,10,0.974889217,0.4927,0.496224268,0.9594,0.654121497,0.974,,,,,,,,,
0.02,7,0.989660266,0.5114,0.506269248,0.9206,0.653278456,0.8978,,,,,,,,,
0.4,2,0.595273264,0.7223,0.869637512,0.523,0.653178469,0.0784,,,,,,,,,
0.04,7,0.964549483,0.5077,0.504187969,0.927,0.653138871,0.9116,,,,,,,,,
0.03,6,0.994091581,0.5009,0.50048,0.9384,0.6528,0.9366,,,,,,,,,
0.19,1,1,0.5142,0.507897664,0.9132,0.652751966,0.8848,,,,,,,,,
0.01,19,0.988183161,0.5079,0.504312698,0.9238,0.652447207,0.908,,,,,,,,,
0.1,3,0.970457903,0.4871,0.493383937,0.962,0.65224761,0.9878,,,,,,,,,
0.02,11,0.989660266,0.4952,0.497472088,0.9446,0.651717952,0.9542,,,,,,,,,
0.13,15,0.915805022,0.639,0.629761016,0.6746,0.651409811,0.3966,,,,,,,,,
0.24,3,0.917282127,0.6334,0.621096587,0.6842,0.651122954,0.4174,,,,,,,,,
0.04,10,0.967503693,0.4933,0.496474055,0.9434,0.650575822,0.9568,,,,,,,,,
0.2,1,1,0.5256,0.514939309,0.8824,0.650353774,0.8312,,,,,,,,,
0.15,2,0.980797637,0.5062,0.503398378,0.9184,0.650332814,0.906,,,,,,,,,
0.01,30,0.971935007,0.5306,0.518162393,0.873,0.650327771,0.8118,,,,,,,,,
0.02,9,0.954209749,0.5121,0.506757511,0.9074,0.650326095,0.8832,,,,,,,,,
0.01,14,0.974889217,0.4976,0.498717675,0.9334,0.650090542,0.9382,,,,,,,,,
0.14,2,0.988183161,0.523,0.513331788,0.8856,0.64993395,0.8396,,,,,,,,,
0.19,8,0.903988183,0.6501,0.650310435,0.6494,0.649854898,0.3492,,,,,,,,,
0.19,10,0.909896603,0.6534,0.656594528,0.6432,0.649828248,0.3364,,,,,,,,,
0.02,62,0.917282127,0.6018,0.579905808,0.7388,0.649780123,0.5352,,,,,,,,,
0.03,11,0.952732644,0.5132,0.507417397,0.903,0.649733775,0.8766,,,,,,,,,
0.3,2,0.917282127,0.633,0.621439007,0.6806,0.649675449,0.4146,,,,,,,,,
0.03,8,0.961595273,0.4989,0.499408029,0.928,0.649359737,0.9302,,,,,,,,,
0.17,6,0.914327917,0.6307,0.618194972,0.6836,0.64925444,0.4222,,,,,,,,,
0.23,6,0.635155096,0.7111,0.826476956,0.5344,0.649095105,0.1122,,,,,,,,,
0.08,3,0.952732644,0.4874,0.493433396,0.9468,0.648759764,0.972,,,,,,,,,
0.01,21,0.992614476,0.5303,0.518111178,0.8668,0.648559671,0.8062,,,,,,,,,
0.21,1,0.995568685,0.521,0.512175325,0.8834,0.648414563,0.8414,,,,,,,,,
0.02,12,1,0.5049,0.502702107,0.9116,0.648041516,0.9018,,,,,,,,,
0.03,12,0.973412112,0.4976,0.498704943,0.9242,0.647834011,0.929,,,,,,,,,
0.03,7,0.980797637,0.5312,0.518795181,0.8612,0.647518797,0.7988,,,,,,,,,
0.2,11,0.902511078,0.6491,0.650514839,0.6444,0.647442982,0.3462,,,,,,,,,
0.22,1,1,0.5278,0.516563394,0.867,0.647401434,0.8114,,,,,,,,,
0.17,14,0.906942393,0.6444,0.642350158,0.6516,0.646942017,0.3628,,,,,,,,,
0.07,10,0.923190547,0.5077,0.504305043,0.902,0.646919601,0.8866,,,,,,,,,
0.19,4,0.915805022,0.6357,0.627657573,0.6672,0.646825012,0.3958,,,,,,,,,
0.01,29,0.955686854,0.5064,0.503565062,0.904,0.646823125,0.8912,,,,,,,,,
0.18,10,0.871491876,0.6625,0.678453767,0.6178,0.64670784,0.2928,,,,,,,,,
0.12,9,0.918759232,0.5863,0.56466357,0.7536,0.645592393,0.581,,,,,,,,,
0.18,15,0.914327917,0.6335,0.625023413,0.6674,0.645516975,0.4004,,,,,,,,,
0.08,29,0.918759232,0.6131,0.595636733,0.7044,0.645468707,0.4782,,,,,,,,,
0.01,18,0.974889217,0.5224,0.513226264,0.8692,0.645381645,0.8244,,,,,,,,,
0.54,2,0.534711965,0.7246,0.906001446,0.5012,0.645377286,0.052,,,,,,,,,
0.53,1,0.838995569,0.6893,0.751661792,0.5654,0.645360119,0.1868,,,,,,,,,
0.04,6,0.952732644,0.5127,0.507274602,0.8856,0.645057907,0.8602,,,,,,,,,
0.06,9,0.921713442,0.5083,0.504688736,0.8934,0.645007581,0.8768,,,,,,,,,
0.05,8,0.940915805,0.5274,0.516506024,0.8574,0.644661654,0.8026,,,,,,,,,
0.01,16,0.967503693,0.5077,0.504348808,0.893,0.644625713,0.8776,,,,,,,,,
0.02,63,0.977843427,0.5541,0.535851557,0.8086,0.644559585,0.7004,,,,,,,,,
0.03,13,0.976366322,0.5093,0.50528109,0.8898,0.644549076,0.8712,,,,,,,,,
0.02,72,0.946824225,0.5701,0.549456752,0.7788,0.644328618,0.6386,,,,,,,,,
0.2,18,0.822747415,0.6958,0.775619369,0.551,0.644293732,0.1594,,,,,,,,,
0.02,68,0.926144756,0.5667,0.546454938,0.7846,0.644223664,0.6512,,,,,,,,,
0.02,20,0.949778434,0.4921,0.495739402,0.9192,0.644103427,0.935,,,,,,,,,
0.06,4,0.946824225,0.492,0.495683143,0.9186,0.643908594,0.9346,,,,,,,,,
0.05,4,0.963072378,0.4838,0.491461101,0.9324,0.643655944,0.9648,,,,,,,,,
0.07,6,0.920236337,0.5093,0.505302771,0.8862,0.643619725,0.8676,,,,,,,,,
0.05,6,0.964549483,0.5238,0.51423445,0.8598,0.643562874,0.8122,,,,,,,,,
0.09,3,0.951255539,0.4924,0.495886556,0.9162,0.643489254,0.9314,,,,,,,,,
0.02,14,0.971935007,0.5205,0.512131613,0.8654,0.643467916,0.8244,,,,,,,,,
0.2,6,0.914327917,0.629,0.619444444,0.669,0.643269231,0.411,,,,,,,,,
0.01,20,0.974889217,0.5301,0.518432333,0.8466,0.643068743,0.7864,,,,,,,,,
0.25,8,0.793205318,0.6702,0.700897073,0.5938,0.642919013,0.2534,,,,,,,,,
0.04,9,0.964549483,0.5175,0.510285647,0.8682,0.642777819,0.8332,,,,,,,,,
0.01,15,0.963072378,0.4988,0.499335254,0.9014,0.642663625,0.9038,,,,,,,,,
0.55,1,0.698670606,0.6908,0.761226725,0.556,0.642625982,0.1744,,,,,,,,,
0.01,22,0.94239291,0.5026,0.501457726,0.8944,0.642621066,0.8892,,,,,,,,,
0.02,17,0.951255539,0.5203,0.512056064,0.8622,0.642521797,0.8216,,,,,,,,,
0.16,5,0.890694239,0.6413,0.640429338,0.6444,0.642408534,0.3618,,,,,,,,,
0.06,10,0.929098966,0.5087,0.504979966,0.8822,0.642300692,0.8648,,,,,,,,,
0.18,14,0.917282127,0.6272,0.617429838,0.6688,0.642089094,0.4144,,,,,,,,,
0.07,5,0.933530281,0.5048,0.502719855,0.8872,0.641782407,0.8776,,,,,,,,,
0.28,2,0.914327917,0.6175,0.603487758,0.6852,0.641753301,0.4502,,,,,,,,,
0.16,2,0.994091581,0.5167,0.509840896,0.8652,0.64160178,0.8318,,,,,,,,,
0.07,7,0.921713442,0.538,0.524081115,0.827,0.641582622,0.751,,,,,,,,,
0.19,7,0.914327917,0.6258,0.615625,0.6698,0.641570881,0.4182,,,,,,,,,
0.04,70,0.920236337,0.6072,0.589963075,0.703,0.641540427,0.4886,,,,,,,,,
0.04,13,0.94534712,0.5271,0.516542547,0.8462,0.641497991,0.792,,,,,,,,,
0.05,9,0.940915805,0.5159,0.509349641,0.8662,0.641487077,0.8344,,,,,,,,,
0.15,15,0.917282127,0.6237,0.61255687,0.6732,0.641448309,0.4258,,,,,,,,,
0.23,1,1,0.528,0.517152659,0.8442,0.641391886,0.7882,,,,,,,,,
0.02,16,0.963072378,0.5081,0.50464716,0.8796,0.641341597,0.8634,,,,,,,,,
0.22,4,0.909896603,0.6343,0.629558171,0.6526,0.640872042,0.384,,,,,,,,,
0.23,10,0.70901034,0.7115,0.848894754,0.5146,0.640767028,0.0916,,,,,,,,,
0.14,14,0.917282127,0.6199,0.607572223,0.6772,0.640499385,0.4374,,,,,,,,,
0.06,7,0.926144756,0.5198,0.511853448,0.855,0.640353505,0.8154,,,,,,,,,
0.01,25,0.958641064,0.5145,0.508532423,0.8642,0.640290435,0.8352,,,,,,,,,
0.05,10,0.93648449,0.5019,0.501075025,0.8856,0.640023126,0.8818,,,,,,,,,
0.06,8,0.935007386,0.4948,0.497121984,0.8982,0.640017101,0.9086,,,,,,,,,
0.24,1,0.982274742,0.5254,0.515525672,0.8434,0.639908953,0.7926,,,,,,,,,
0.17,2,0.961595273,0.5096,0.505577504,0.8702,0.639570778,0.851,,,,,,,,,
0.08,9,0.923190547,0.5278,0.517173215,0.8372,0.639376814,0.7816,,,,,,,,,
0.08,6,0.921713442,0.5365,0.523245446,0.8216,0.639327679,0.7486,,,,,,,,,
0.06,5,0.921713442,0.5191,0.511471471,0.8516,0.639099437,0.8134,,,,,,,,,
0.13,4,0.920236337,0.5712,0.551864802,0.7576,0.638570465,0.6152,,,,,,,,,
0.2,7,0.833087149,0.6587,0.678595544,0.603,0.638568252,0.2856,,,,,,,,,
0.25,1,0.983751846,0.5331,0.52091495,0.8244,0.638426392,0.7582,,,,,,,,,
0.15,12,0.917282127,0.6187,0.607033363,0.6732,0.638406828,0.4358,,,,,,,,,
0.01,27,0.949778434,0.5076,0.504410399,0.8692,0.638366627,0.854,,,,,,,,,
0.04,15,0.932053176,0.5223,0.513585963,0.843,0.638297872,0.7984,,,,,,,,,
0.09,4,0.926144756,0.5119,0.507005769,0.8612,0.638256874,0.8374,,,,,,,,,
0.07,99,0.810930576,0.6837,0.745522588,0.5578,0.638142089,0.1904,,,,,,,,,
0.04,5,0.933530281,0.4872,0.49302072,0.9042,0.63810868,0.9298,,,,,,,,,
0.11,3,0.929098966,0.4968,0.498202247,0.8868,0.637985612,0.8932,,,,,,,,,
