self_radius,self_count,uc,accuracy,precision,recall,f1,far,,,,,,,,,
0.26,14,0.489417989,0.7006,0.718518519,0.6596,0.687799791,0.2584,,,,,,,,,
0.38,3,0.063492063,0.7214,0.783120205,0.6124,0.687317621,0.1696,,,,,,,,,
0.23,6,0.489417989,0.6935,0.701856875,0.6728,0.687021342,0.2858,,,,,,,,,
0.23,15,0.489417989,0.6966,0.711397849,0.6616,0.685595855,0.2684,,,,,,,,,
0.31,10,0.489417989,0.697,0.713019031,0.6594,0.685162095,0.2654,,,,,,,,,
0.47,2,0.066137566,0.7409,0.873256895,0.5636,0.685061383,0.0818,,,,,,,,,
0.32,4,0.124338624,0.7268,0.811367381,0.591,0.683869475,0.1374,,,,,,,,,
0.25,5,0.489417989,0.6922,0.703257191,0.665,0.68359375,0.2806,,,,,,,,,
0.25,12,0.476190476,0.6939,0.707824223,0.6604,0.683290222,0.2726,,,,,,,,,
0.35,6,0.174603175,0.7358,0.854479856,0.5684,0.682680759,0.0968,,,,,,,,,
0.41,3,0.037037037,0.7415,0.8849219,0.5552,0.68231535,0.0722,,,,,,,,,
0.26,8,0.436507937,0.6993,0.724083652,0.644,0.681697894,0.2454,,,,,,,,,
0.2,8,0.489417989,0.68,0.679140127,0.6824,0.680766161,0.3224,,,,,,,,,
0.32,2,0.489417989,0.6869,0.694403994,0.6676,0.680738248,0.2938,,,,,,,,,
0.13,26,0.462962963,0.6835,0.687896785,0.6718,0.679753111,0.3048,,,,,,,,,
0.3,3,0.134920635,0.7303,0.836597486,0.5724,0.679729248,0.1118,,,,,,,,,
0.26,15,0.042328042,0.7231,0.806203678,0.5874,0.67962513,0.1412,,,,,,,,,
0.24,3,0.465608466,0.6809,0.685158649,0.6694,0.677187658,0.3076,,,,,,,,,
0.21,9,0.489417989,0.68,0.683299389,0.671,0.677093845,0.311,,,,,,,,,
0.25,4,0.111111111,0.7049,0.747882894,0.6182,0.676886018,0.2084,,,,,,,,,
0.19,13,0.489417989,0.6785,0.681586979,0.67,0.675743822,0.313,,,,,,,,,
0.21,10,0.087301587,0.7057,0.752392638,0.6132,0.675702479,0.2018,,,,,,,,,
0.28,4,0.277777778,0.6924,0.714540589,0.6408,0.675664277,0.256,,,,,,,,,
0.39,2,0.182539683,0.7001,0.735800141,0.6244,0.675538245,0.2242,,,,,,,,,
0.22,14,0.047619048,0.7302,0.849211165,0.5598,0.674783028,0.0994,,,,,,,,,
0.14,12,0.489417989,0.6728,0.670818505,0.6786,0.674686816,0.333,,,,,,,,,
0.26,4,0.082010582,0.712,0.776473657,0.5954,0.673986869,0.1714,,,,,,,,,
0.21,6,0.489417989,0.6755,0.678317415,0.6676,0.672916037,0.3166,,,,,,,,,
0.57,1,0.03968254,0.734,0.874519846,0.5464,0.672575086,0.0784,,,,,,,,,
0.18,13,0.489417989,0.6742,0.676530199,0.6676,0.672035434,0.3192,,,,,,,,,
0.16,24,0.103174603,0.7031,0.75105068,0.6076,0.671752349,0.2014,,,,,,,,,
0.17,13,0.489417989,0.6714,0.671057884,0.6724,0.671728272,0.3296,,,,,,,,,
0.23,7,0.470899471,0.6802,0.690486258,0.6532,0.671325797,0.2928,,,,,,,,,
0.24,10,0.293650794,0.6833,0.698333694,0.6454,0.670824239,0.2788,,,,,,,,,
0.16,7,0.481481481,0.6591,0.648719387,0.694,0.670596193,0.3758,,,,,,,,,
0.23,11,0.476190476,0.6706,0.671698873,0.6674,0.669542536,0.3262,,,,,,,,,
0.49,1,0.182539683,0.7079,0.770773639,0.5918,0.669532753,0.176,,,,,,,,,
0.43,14,0.031746032,0.7423,0.933452594,0.5218,0.669403464,0.0372,,,,,,,,,
0.23,4,0.452380952,0.6725,0.676056338,0.6624,0.669158501,0.3174,,,,,,,,,
0.25,6,0.489417989,0.6724,0.675846593,0.6626,0.669157746,0.3178,,,,,,,,,
0.22,9,0.489417989,0.6702,0.671711057,0.6658,0.668742467,0.3254,,,,,,,,,
0.1,20,0.489417989,0.662,0.655829165,0.6818,0.668562463,0.3578,,,,,,,,,
