self_radius,self_count,uc,accuracy,precision,recall,f1,far,,,,,,,,,
0.01,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.01,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.02,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.02,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.03,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.03,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.04,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.04,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.05,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.05,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.06,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.06,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.07,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.08,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.01,3,1,0.4998,0.49989998,0.9996,0.666488865,1,,,,,,,,,
0.02,3,1,0.4998,0.49989998,0.9996,0.666488865,1,,,,,,,,,
0.23,10,0.393764434,0.6643,0.66225558,0.6706,0.666401669,0.342,,,,,,,,,
0.07,2,0.999835038,0.4996,0.49979992,0.9992,0.666311016,1,,,,,,,,,
0.1,1,0.999835038,0.4995,0.499749775,0.9986,0.666133013,0.9996,,,,,,,,,
0.09,1,1,0.4996,0.49979976,0.9984,0.666132906,0.9992,,,,,,,,,
0.02,4,1,0.499,0.499499399,0.9978,0.665732586,0.9998,,,,,,,,,
0.22,9,0.369185087,0.6807,0.69861508,0.6356,0.665619437,0.2742,,,,,,,,,
0.09,2,0.998350379,0.4994,0.499699097,0.9964,0.665597862,0.9976,,,,,,,,,
0.03,3,0.999670076,0.4988,0.499398677,0.9966,0.665375885,0.999,,,,,,,,,
0.01,7,0.997690531,0.4989,0.4994484,0.996,0.66528622,0.9982,,,,,,,,,
0.01,4,1,0.4983,0.499148553,0.9966,0.665153841,1,,,,,,,,,
0.17,13,0.381722204,0.6778,0.692424242,0.6398,0.665072765,0.2842,,,,,,,,,
0.11,1,0.997690531,0.4993,0.499648135,0.994,0.665016391,0.9954,,,,,,,,,
0.1,2,0.974595843,0.502,0.501013582,0.9886,0.665007399,0.9846,,,,,,,,,
0.13,17,0.416529198,0.6662,0.668218623,0.6602,0.664185111,0.3278,,,,,,,,,
0.43,3,0.25882547,0.7226,0.841620626,0.5484,0.664083313,0.1032,,,,,,,,,
