self_radius,self_count,uc,accuracy,precision,recall,f1,far,,,,,,,,,
0.25,9,0.226194754,0.7262,0.836607143,0.5622,0.672488038,0.1098,,,,,,,,,
0.16,12,0.323392023,0.6738,0.675555556,0.6688,0.672160804,0.3212,,,,,,,,,
0.28,10,0.247215235,0.7249,0.831808793,0.5638,0.672070569,0.114,,,,,,,,,
0.32,3,0.211103126,0.7256,0.836716418,0.5606,0.671377246,0.1094,,,,,,,,,
0.27,7,0.287459576,0.6961,0.730977621,0.6206,0.671281774,0.2284,,,,,,,,,
0.18,12,0.274254402,0.6982,0.738106679,0.6144,0.67059594,0.218,,,,,,,,,
0.17,8,0.354743083,0.6634,0.65687404,0.6842,0.670258621,0.3574,,,,,,,,,
0.28,9,0.203287819,0.7294,0.862745098,0.5456,0.668463612,0.0868,,,,,,,,,
0.13,12,0.348993891,0.6624,0.657181572,0.679,0.66791265,0.3542,,,,,,,,,
0.26,2,0.422745239,0.6515,0.637902785,0.7008,0.667873821,0.3978,,,,,,,,,
0.26,10,0.22511678,0.7122,0.789732387,0.5784,0.66774417,0.154,,,,,,,,,
0.22,3,0.330937837,0.6615,0.656038647,0.679,0.667321867,0.356,,,,,,,,,
0.15,13,0.325368308,0.6657,0.664482827,0.6694,0.66693235,0.338,,,,,,,,,
0.14,13,0.352137981,0.6598,0.653358925,0.6808,0.666797258,0.3612,,,,,,,,,
0.01,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.01,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.02,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.02,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.03,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.03,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.04,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.05,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.05,2,0.999910169,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.06,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.07,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.07,2,0.999910169,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.25,8,0.205084441,0.7209,0.827453306,0.5582,0.666666667,0.1164,,,,,,,,,
0.01,3,0.999730507,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,,
0.04,2,1,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,,
0.06,2,0.999910169,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,,
0.09,1,0.999820338,0.4998,0.49989998,0.9996,0.666488865,1,,,,,,,,,
0.08,1,0.999730507,0.4995,0.499749875,0.999,0.666222074,1,,,,,,,,,
0.1,1,0.998652533,0.4991,0.499549504,0.998,0.665821603,0.9998,,,,,,,,,
0.08,2,0.997754222,0.4992,0.499599439,0.9978,0.665821433,0.9994,,,,,,,,,
0.03,3,0.994969457,0.499,0.499499499,0.998,0.665777185,1,,,,,,,,,
0.01,7,0.994250808,0.4988,0.499399279,0.9976,0.665599146,1,,,,,,,,,
0.23,4,0.3135106,0.6609,0.656792048,0.674,0.66528477,0.3522,,,,,,,,,
0.04,3,0.989399928,0.4985,0.499248572,0.9966,0.665242641,0.9996,,,,,,,,,
0.02,3,0.993442328,0.4984,0.499198557,0.9966,0.665198238,0.9998,,,,,,,,,
0.1,2,0.993083004,0.4999,0.499949683,0.9936,0.665193814,0.9938,,,,,,,,,
0.26,3,0.360851599,0.6576,0.650784539,0.6802,0.665167221,0.365,,,,,,,,,
0.2,13,0.313241107,0.6638,0.662887828,0.6666,0.664738732,0.339,,,,,,,,,
0.11,1,0.99434064,0.4989,0.499446958,0.9934,0.664703914,0.9956,,,,,,,,,
0.31,13,0.162504492,0.7335,0.896704043,0.5278,0.664484452,0.0608,,,,,,,,,
0.19,13,0.310546173,0.6644,0.6644,0.6644,0.6644,0.3356,,,,,,,,,
0.13,1,0.985088034,0.5014,0.500712686,0.9836,0.66360815,0.9808,,,,,,,,,
0.01,4,0.987423644,0.4983,0.499142021,0.989,0.663446703,0.9924,,,,,,,,,
0.02,4,0.980955803,0.4969,0.498440801,0.991,0.66327555,0.9972,,,,,,,,,
0.31,4,0.171846928,0.7251,0.856058209,0.5412,0.663154025,0.091,,,,,,,,,
0.12,1,0.991106719,0.4983,0.499140633,0.9874,0.663085085,0.9908,,,,,,,,,
0.09,2,0.985986346,0.5003,0.500152579,0.9834,0.663070595,0.9828,,,,,,,,,
0.15,1,0.977811714,0.5054,0.502790409,0.973,0.66298719,0.9622,,,,,,,,,
0.22,7,0.306144448,0.6628,0.663060897,0.662,0.662530024,0.3364,,,,,,,,,
0.14,1,0.975925261,0.5059,0.503066209,0.968,0.662061419,0.9562,,,,,,,,,
0.21,7,0.321685232,0.6577,0.653793642,0.6704,0.661992693,0.355,,,,,,,,,
