self_radius,self_count,uc,accuracy,precision,recall,f1,far,,,,,,,,
0.16,9,0.181818182,0.6136,0.597695218,0.695,0.642685408,0.4678,,,,,,,,
0.02,12,0.659090909,0.5033,0.501856645,0.892,0.642327357,0.8854,,,,,,,,
0.12,3,0.886363636,0.5067,0.503810716,0.8858,0.642302951,0.8724,,,,,,,,
0.04,11,0.931818182,0.5224,0.513416387,0.8572,0.642193587,0.8124,,,,,,,,
0.03,15,0.772727273,0.5089,0.505104967,0.8806,0.641977109,0.8628,,,,,,,,
0.06,4,1,0.483,0.490995763,0.927,0.641966759,0.961,,,,,,,,
0.18,14,0.227272727,0.6272,0.617560074,0.6682,0.641882805,0.4138,,,,,,,,
0.13,15,0.136363636,0.6228,0.6109906,0.676,0.641853399,0.4304,,,,,,,,
0.01,20,0.75,0.524,0.514492754,0.852,0.641566265,0.804,,,,,,,,
0.24,1,0.636363636,0.5328,0.520413244,0.8362,0.641552862,0.7706,,,,,,,,
0.08,24,0.272727273,0.6208,0.608321377,0.6784,0.641452345,0.4368,,,,,,,,
0.02,43,0.477272727,0.5662,0.54673821,0.7744,0.640953485,0.642,,,,,,,,
0.04,13,0.931818182,0.528,0.517194792,0.8422,0.640846142,0.7862,,,,,,,,
0.03,12,0.818181818,0.4952,0.497346894,0.8998,0.640609426,0.9094,,,,,,,,
0.1,3,0.863636364,0.5089,0.505136789,0.8752,0.640562102,0.8574,,,,,,,,
0.01,48,0.704545455,0.5487,0.532230311,0.8042,0.640541617,0.7068,,,,,,,,
0.08,9,0.909090909,0.5493,0.532722687,0.8026,0.640389372,0.704,,,,,,,,
0.25,1,0.454545455,0.5357,0.522569225,0.8266,0.640328453,0.7552,,,,,,,,
0.07,7,0.909090909,0.5211,0.512690966,0.8524,0.640276422,0.8102,,,,,,,,
0.07,4,0.931818182,0.509,0.505207128,0.8732,0.640082099,0.8552,,,,,,,,
0.09,7,0.977272727,0.521,0.512641464,0.8516,0.640012025,0.8096,,,,,,,,
0.21,2,0.75,0.554,0.536595283,0.7918,0.639683309,0.6838,,,,,,,,
0.24,3,0.136363636,0.6119,0.597017513,0.6886,0.639546763,0.4648,,,,,,,,
0.02,9,0.772727273,0.5107,0.506243436,0.8676,0.639398629,0.8462,,,,,,,,
0.02,21,0.886363636,0.5138,0.508138712,0.8616,0.639263986,0.834,,,,,,,,
0.19,9,0.136363636,0.6211,0.610030892,0.6714,0.63924593,0.4292,,,,,,,,
0.04,7,0.818181818,0.5287,0.517801762,0.8348,0.639154735,0.7774,,,,,,,,
0.16,15,0.136363636,0.6205,0.609247507,0.672,0.639087019,0.431,,,,,,,,
0.2,6,0.136363636,0.6254,0.616629464,0.663,0.638974557,0.4122,,,,,,,,
0.12,13,0.204545455,0.6143,0.600563083,0.6826,0.638959094,0.454,,,,,,,,
0.02,16,0.886363636,0.5108,0.506318746,0.8654,0.63886018,0.8438,,,,,,,,
0.17,24,0.090909091,0.6722,0.711340206,0.5796,0.638748071,0.2352,,,,,,,,
0.5,1,0.090909091,0.6477,0.65544096,0.6228,0.638703723,0.3274,,,,,,,,
0.17,8,0.159090909,0.6123,0.598078603,0.6848,0.638508159,0.4602,,,,,,,,
0.14,14,0.204545455,0.6176,0.605414127,0.6754,0.63849499,0.4402,,,,,,,,
0.16,3,0.840909091,0.5693,0.550137462,0.7604,0.638401478,0.6218,,,,,,,,
0.13,22,0.136363636,0.6527,0.666376117,0.6116,0.637814162,0.3062,,,,,,,,
0.01,18,1,0.4829,0.490783659,0.9106,0.637809064,0.9448,,,,,,,,
0.01,22,0.863636364,0.4935,0.496380443,0.8914,0.637670792,0.9044,,,,,,,,
0.01,19,0.931818182,0.4977,0.498702471,0.884,0.637668614,0.8886,,,,,,,,
0.06,9,0.795454545,0.5308,0.519395466,0.8248,0.6374034,0.7632,,,,,,,,
0.04,5,0.954545455,0.4896,0.494265549,0.8964,0.637190788,0.9172,,,,,,,,
