self_radius,self_count,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,,
0.01,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.01,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.01,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.01,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.01,7,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.01,11,1,0.5001,0.500050015,0.9998,0.666666667,0.9996,,,,,,,,,,
0.02,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.02,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.02,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.02,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.02,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.03,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.03,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.03,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.03,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.03,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.04,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.04,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.04,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.04,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.04,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.04,22,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.05,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.05,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.05,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.05,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.05,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.06,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.06,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.06,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.06,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.07,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.07,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.07,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.07,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.07,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.08,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.08,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.08,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.08,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.08,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.09,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.09,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.09,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.09,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.1,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.1,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.1,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.1,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.11,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.11,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.11,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.11,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.11,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.12,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.13,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.13,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.13,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.14,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.15,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.15,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.17,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.17,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.18,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.19,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.2,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.2,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
