self_radius,self_count,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.14,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.14,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.15,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.16,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.18,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.18,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.21,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.12,3,1,0.5,0.5,0.9998,0.666622216,0.9998,,,,,,,,,
0.15,4,1,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,,
0.09,2,1,0.5,0.5,0.999,0.666444296,0.999,,,,,,,,,
0.14,1,1,0.5,0.5,0.999,0.666444296,0.999,,,,,,,,,
0.19,2,1,0.5,0.5,0.999,0.666444296,0.999,,,,,,,,,
0.17,1,1,0.4999,0.499949955,0.999,0.66639984,0.9992,,,,,,,,,
0.13,4,1,0.4999,0.499949945,0.9988,0.666355327,0.999,,,,,,,,,
0.17,2,0.925373134,0.5022,0.501109318,0.9938,0.666264414,0.9894,,,,,,,,,
0.02,11,1,0.4994,0.4996997,0.9984,0.666044029,0.9996,,,,,,,,,
0.19,3,1,0.4995,0.499749624,0.998,0.665999333,0.999,,,,,,,,,
0.16,2,0.925373134,0.5019,0.500958724,0.9928,0.665906499,0.989,,,,,,,,,
0.25,1,1,0.4993,0.499649334,0.9974,0.66577665,0.9988,,,,,,,,,
0.2,1,0.925373134,0.4994,0.499698977,0.996,0.665508486,0.9972,,,,,,,,,
0.14,2,1,0.4987,0.499348502,0.9964,0.665286773,0.999,,,,,,,,,
0.03,24,1,0.5021,0.501063291,0.9896,0.665277311,0.9854,,,,,,,,,
0.24,2,0.925373134,0.4986,0.499296341,0.9934,0.664570511,0.9962,,,,,,,,,
0.03,6,1,0.5135,0.5071165,0.962,0.664135312,0.935,,,,,,,,,
0.05,23,0.925373134,0.5797,0.55312625,0.8298,0.663786897,0.6704,,,,,,,,,
0.18,1,0.925373134,0.4973,0.498640894,0.9906,0.663363021,0.996,,,,,,,,,
0.1,5,1,0.5036,0.501859888,0.9714,0.661806786,0.9642,,,,,,,,,
0.12,35,1,0.539,0.522653346,0.8998,0.661228689,0.8218,,,,,,,,,
0.02,17,1,0.5061,0.50319673,0.9602,0.660339729,0.948,,,,,,,,,
0.24,1,0.925373134,0.5085,0.504489279,0.9552,0.660261284,0.9382,,,,,,,,,
0.04,18,1,0.4971,0.498508997,0.9696,0.658471986,0.9754,,,,,,,,,
0.06,6,1,0.4956,0.49773616,0.9674,0.657290393,0.9762,,,,,,,,,
0.13,26,0.641791045,0.5914,0.571050995,0.7346,0.642582225,0.5518,,,,,,,,,
0.07,20,0.641791045,0.5793,0.558959108,0.7518,0.64119403,0.5932,,,,,,,,,
0.02,31,1,0.485,0.491787122,0.8982,0.635578828,0.9282,,,,,,,,,
0.24,5,0.791044776,0.5587,0.541779359,0.7612,0.633014553,0.6438,,,,,,,,,
0.1,10,0.776119403,0.6354,0.63793806,0.6262,0.632014534,0.3554,,,,,,,,,
0.36,1,0.850746269,0.4788,0.488395008,0.8922,0.631243809,0.9346,,,,,,,,,
0.29,2,0.850746269,0.5105,0.506420448,0.8282,0.62851939,0.8072,,,,,,,,,
0.04,7,0.71641791,0.4901,0.494293948,0.8576,0.627129799,0.8774,,,,,,,,,
0.04,17,0.925373134,0.5457,0.532007284,0.7596,0.625751709,0.6682,,,,,,,,,
0.14,19,0.925373134,0.5344,0.523484435,0.7668,0.622200584,0.698,,,,,,,,,
0.29,3,0.925373134,0.4777,0.48724694,0.852,0.619951976,0.8966,,,,,,,,,
0.09,6,0.626865672,0.5431,0.530922657,0.74,0.618263848,0.6538,,,,,,,,,
0.09,15,0.925373134,0.5163,0.510643855,0.782,0.61783993,0.7494,,,,,,,,,
0.02,70,0.641791045,0.5388,0.52748654,0.7446,0.617515343,0.667,,,,,,,,,
0.01,32,0.895522388,0.5442,0.532452276,0.7252,0.614055885,0.6368,,,,,,,,,
0.25,3,0.925373134,0.5187,0.512729748,0.7532,0.610125557,0.7158,,,,,,,,,
0.2,3,0.850746269,0.4505,0.472721261,0.8578,0.609535991,0.9568,,,,,,,,,
0.1,16,0.850746269,0.5567,0.544709036,0.6908,0.609117362,0.5774,,,,,,,,,
0.11,38,0.791044776,0.5846,0.575643777,0.6438,0.607817221,0.4746,,,,,,,,,
0.06,16,0.641791045,0.5019,0.501243618,0.7658,0.605902366,0.762,,,,,,,,,
0.01,36,1,0.4763,0.485613694,0.8,0.604366548,0.8474,,,,,,,,,
0.21,4,0.850746269,0.5065,0.50435949,0.752,0.603773585,0.739,,,,,,,,,
0.22,1,0.925373134,0.4418,0.467880795,0.8478,0.602987198,0.9642,,,,,,,,,
0.09,24,0.925373134,0.4649,0.479267572,0.8114,0.602599332,0.8816,,,,,,,,,
0.03,15,0.641791045,0.5199,0.514075541,0.7268,0.602203994,0.687,,,,,,,,,
0.05,20,1,0.5154,0.510757195,0.7312,0.601414706,0.7004,,,,,,,,,
0.21,2,0.686567164,0.4611,0.476709376,0.7962,0.596359823,0.874,,,,,,,,,
0.27,1,0.865671642,0.4727,0.483066617,0.7788,0.596278999,0.8334,,,,,,,,,
0.41,2,0.925373134,0.5568,0.547811448,0.6508,0.59488117,0.5372,,,,,,,,,
0.33,1,0.910447761,0.4596,0.475674374,0.79,0.593806374,0.8708,,,,,,,,,
0.23,4,0.925373134,0.4572,0.474395788,0.793,0.593651744,0.8786,,,,,,,,,
0.02,21,1,0.423,0.457477358,0.8284,0.589440729,0.9824,,,,,,,,,
0.04,34,1,0.4995,0.499647838,0.7094,0.586329449,0.7104,,,,,,,,,
0.02,30,0.641791045,0.4384,0.46373057,0.7876,0.583753335,0.9108,,,,,,,,,
0.09,62,1,0.5169,0.512898794,0.672,0.581767812,0.6382,,,,,,,,,
0.06,40,0.835820896,0.4489,0.468106354,0.75,0.576435324,0.8522,,,,,,,,,
0.06,39,1,0.4298,0.458134542,0.7682,0.573968918,0.9086,,,,,,,,,
0.16,4,1,0.4012,0.443555759,0.7764,0.564572426,0.974,,,,,,,,,
0.56,1,0.791044776,0.4694,0.478547392,0.6826,0.562644247,0.7438,,,,,,,,,
0.45,1,0.701492537,0.531,0.527088431,0.6032,0.562581608,0.5412,,,,,,,,,
