self_radius,self_count,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,,,
0.01,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.02,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.02,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.02,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.02,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.02,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.03,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.03,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.03,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.03,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.03,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.04,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.04,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.04,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.04,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.04,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.05,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.05,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.05,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.06,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.06,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.06,3,0.9999,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.06,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.06,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.07,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.07,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.07,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.07,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.07,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.07,15,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.08,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.08,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.08,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.08,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.09,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.09,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.09,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.09,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.1,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.1,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.1,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.11,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.11,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.11,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.12,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.12,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.12,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.13,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.13,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.14,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.15,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.15,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.16,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.16,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.16,3,0.9998,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.17,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.17,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.26,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,,
0.2,2,0.9945,0.5003,0.500150225,0.9988,0.6665332,0.9982,,,,,,,,,,,
0.11,4,0.9953,0.5002,0.5001002,0.9982,0.66635514,0.9978,,,,,,,,,,,
0.07,31,0.6134,0.5723,0.546245363,0.854,0.666302567,0.7094,,,,,,,,,,,
0.21,1,0.9689,0.5023,0.501161734,0.9922,0.665950735,0.9876,,,,,,,,,,,
0.18,1,0.9853,0.4993,0.499649123,0.9968,0.665642738,0.9982,,,,,,,,,,,
0.22,1,0.9843,0.4997,0.499849443,0.996,0.665641917,0.9966,,,,,,,,,,,
0.24,1,0.9861,0.4988,0.499398074,0.9956,0.665152325,0.998,,,,,,,,,,,
0.23,5,0.9567,0.5024,0.501218522,0.9872,0.66487069,0.9824,,,,,,,,,,,
0.29,2,0.8644,0.5107,0.505574659,0.9704,0.664794136,0.949,,,,,,,,,,,
0.2,1,0.9322,0.5037,0.501887177,0.984,0.664730122,0.9766,,,,,,,,,,,
0.25,2,0.9619,0.4995,0.499747755,0.9906,0.664341761,0.9916,,,,,,,,,,,
0.01,63,0.777,0.5254,0.513913234,0.9382,0.664071348,0.8874,,,,,,,,,,,
0.07,26,0.9347,0.5009,0.500456714,0.9862,0.663973608,0.9844,,,,,,,,,,,
0.04,23,0.8825,0.5052,0.502682071,0.9746,0.663263917,0.9642,,,,,,,,,,,
0.07,30,0.9007,0.503,0.5015372,0.9788,0.6632335,0.9728,,,,,,,,,,,
0.03,6,0.8593,0.5078,0.504056584,0.9692,0.663199672,0.9536,,,,,,,,,,,
0.01,91,0.4131,0.5921,0.564831761,0.8024,0.662976122,0.6182,,,,,,,,,,,
0.05,33,0.8214,0.5174,0.509340777,0.9488,0.662847562,0.914,,,,,,,,,,,
0.02,6,0.8856,0.5032,0.501645752,0.9754,0.66254585,0.969,,,,,,,,,,,
0.03,20,0.6717,0.5592,0.536779324,0.864,0.662170448,0.7456,,,,,,,,,,,
0.01,12,0.91,0.4995,0.49974482,0.9792,0.661755761,0.9802,,,,,,,,,,,
0.01,84,0.5062,0.574,0.548812665,0.832,0.66136725,0.684,,,,,,,,,,,
0.01,26,0.8124,0.5129,0.506885876,0.9496,0.660959142,0.9238,,,,,,,,,,,
0.13,5,0.8691,0.5047,0.502463054,0.9588,0.659376934,0.9494,,,,,,,,,,,
0.16,5,0.898,0.4927,0.496296296,0.9782,0.658498822,0.9928,,,,,,,,,,,
0.26,1,0.8865,0.4907,0.495271026,0.974,0.65664397,0.9926,,,,,,,,,,,
0.01,38,0.8332,0.5081,0.504367519,0.9354,0.655363273,0.9192,,,,,,,,,,,
0.09,27,0.7106,0.5201,0.511413969,0.9006,0.652372329,0.8604,,,,,,,,,,,
