self_radius,self_count,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.17,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.19,2,0.9996,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.19,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.21,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,
0.17,5,1,0.4998,0.49989996,0.9994,0.666444385,0.9998,,,,,,,,,
0.18,1,1,0.5,0.5,0.999,0.666444296,0.999,,,,,,,,,
0.19,1,1,0.5,0.5,0.999,0.666444296,0.999,,,,,,,,,
0.29,2,0.9996,0.5,0.5,0.999,0.666444296,0.999,,,,,,,,,
0.24,1,0.9996,0.5034,0.5017203,0.9916,0.666308292,0.9848,,,,,,,,,
0.02,30,1,0.4997,0.499849835,0.9986,0.666221896,0.9992,,,,,,,,,
0.23,2,0.9996,0.5002,0.500100321,0.997,0.666087654,0.9966,,,,,,,,,
0.13,16,0.9989,0.5912,0.563035665,0.8146,0.665849273,0.6322,,,,,,,,,
0.2,2,1,0.4992,0.499599198,0.9972,0.665687583,0.9988,,,,,,,,,
0.15,4,1,0.499,0.499498998,0.997,0.665554072,0.999,,,,,,,,,
0.12,3,1,0.4992,0.499598877,0.9964,0.66550895,0.998,,,,,,,,,
0.19,3,0.9997,0.498,0.49899679,0.9948,0.664617851,0.9988,,,,,,,,,
0.02,12,0.9989,0.5883,0.560938578,0.8128,0.663781135,0.6362,,,,,,,,,
0.01,23,0.9989,0.5055,0.502833591,0.976,0.663719823,0.965,,,,,,,,,
0.01,79,0.9989,0.5084,0.504385965,0.966,0.66273326,0.9492,,,,,,,,,
0.01,26,0.9989,0.504,0.50206697,0.9716,0.662033252,0.9636,,,,,,,,,
0.23,1,0.9985,0.5026,0.501340759,0.9722,0.661540555,0.967,,,,,,,,,
0.02,23,0.9989,0.5027,0.501395926,0.9698,0.661031968,0.9644,,,,,,,,,
0.03,6,0.9989,0.5071,0.503720784,0.9612,0.66102744,0.947,,,,,,,,,
0.03,23,1,0.497,0.498467198,0.9756,0.659813337,0.9816,,,,,,,,,
0.02,9,0.5001,0.6007,0.574936747,0.7726,0.659271269,0.5712,,,,,,,,,
0.02,77,0.9989,0.5021,0.501092498,0.9632,0.659229348,0.959,,,,,,,,,
0.05,17,0.9989,0.5788,0.553532609,0.8148,0.659223301,0.6572,,,,,,,,,
0.27,1,0.9989,0.4959,0.497895061,0.9698,0.657982224,0.978,,,,,,,,,
0.08,15,0.9973,0.5014,0.500730994,0.959,0.657930845,0.9562,,,,,,,,,
0.25,2,0.9978,0.5639,0.541391372,0.8358,0.657127133,0.708,,,,,,,,,
0.16,5,0.9988,0.4946,0.497214197,0.9638,0.656003267,0.9746,,,,,,,,,
0.04,11,0.9989,0.5135,0.507490845,0.9146,0.652772821,0.8876,,,,,,,,,
0.05,29,0.9981,0.503,0.501715462,0.8774,0.63838766,0.8714,,,,,,,,,
0.09,21,0.5147,0.5506,0.534421769,0.7856,0.63611336,0.6844,,,,,,,,,
0.17,4,0.9987,0.4802,0.489232108,0.8996,0.633788925,0.9392,,,,,,,,,
0.32,5,0.5146,0.57,0.552663256,0.7346,0.630774515,0.5946,,,,,,,,,
0.32,1,0.4992,0.4838,0.4906639,0.8514,0.622550453,0.8838,,,,,,,,,
0.05,30,0.9989,0.549,0.535651921,0.7362,0.620114555,0.6382,,,,,,,,,
0.21,16,0.4988,0.6001,0.592496766,0.6412,0.615887043,0.441,,,,,,,,,
0.06,30,0.9978,0.565,0.552301255,0.6864,0.612092028,0.5564,,,,,,,,,
0.14,14,0.9989,0.5383,0.527862651,0.7256,0.611134507,0.649,,,,,,,,,
0.1,15,0.4992,0.5525,0.540428153,0.7018,0.610632559,0.5968,,,,,,,,,
0.12,9,0.9989,0.5181,0.51230121,0.7538,0.610018613,0.7176,,,,,,,,,
0.02,20,0.9989,0.5406,0.529958678,0.7182,0.609884511,0.637,,,,,,,,,
0.01,16,0.9989,0.5339,0.524633048,0.722,0.607692955,0.6542,,,,,,,,,
0.03,13,0.9989,0.5419,0.531404587,0.709,0.607488647,0.6252,,,,,,,,,
0.32,2,0.5003,0.4412,0.468147346,0.8642,0.607308503,0.9818,,,,,,,,,
0.03,34,0.9989,0.5466,0.5360235,0.6934,0.604638995,0.6002,,,,,,,,,
0.05,14,0.9989,0.5215,0.515147245,0.7312,0.604447384,0.6882,,,,,,,,,
0.34,1,0.4993,0.48,0.487687762,0.7922,0.603718945,0.8322,,,,,,,,,
0.03,21,0.9989,0.5329,0.524244657,0.7114,0.603648706,0.6456,,,,,,,,,
0.05,10,0.9989,0.5332,0.524709735,0.705,0.601638505,0.6386,,,,,,,,,
0.07,86,0.9985,0.537,0.52808136,0.6958,0.60044874,0.6218,,,,,,,,,
0.22,1,0.5186,0.4375,0.465373961,0.84,0.598930481,0.965,,,,,,,,,
0.04,20,0.9989,0.501,0.50067659,0.74,0.597255851,0.738,,,,,,,,,
0.02,8,0.9989,0.494,0.495981784,0.7406,0.594095941,0.7526,,,,,,,,,
0.04,21,0.9989,0.5201,0.514738231,0.702,0.59395888,0.6618,,,,,,,,,
0.08,25,0.5146,0.5315,0.524174981,0.683,0.593139383,0.62,,,,,,,,,
0.01,40,0.9989,0.477,0.485286592,0.7586,0.591916355,0.8046,,,,,,,,,
0.08,5,1,0.4254,0.458811837,0.831,0.591206602,0.9802,,,,,,,,,
0.02,7,0.9988,0.5183,0.513549534,0.6936,0.590147196,0.657,,,,,,,,,
0.31,2,0.9989,0.4221,0.457032543,0.8286,0.589121934,0.9844,,,,,,,,,
0.05,8,0.9977,0.4497,0.470013116,0.7884,0.588929559,0.889,,,,,,,,,
0.3,1,0.9939,0.5694,0.563506589,0.6158,0.588493884,0.477,,,,,,,,,
0.01,61,0.9989,0.4706,0.481278655,0.7558,0.588079676,0.8146,,,,,,,,,
0.1,5,1,0.4157,0.453969641,0.8314,0.587271315,1,,,,,,,,,
0.01,10,0.9989,0.4383,0.463913908,0.7932,0.585430659,0.9166,,,,,,,,,
0.23,4,0.9989,0.4431,0.466263489,0.7864,0.585423956,0.9002,,,,,,,,,
0.28,2,0.4992,0.5455,0.538164737,0.6416,0.585348052,0.5506,,,,,,,,,
0.33,3,0.9971,0.4429,0.466104713,0.7852,0.584966103,0.8994,,,,,,,,,
0.03,12,0.9974,0.4591,0.474195584,0.7516,0.581508704,0.8334,,,,,,,,,
0.1,7,0.9989,0.466,0.477962147,0.7374,0.579990562,0.8054,,,,,,,,,
0.03,99,0.5144,0.4449,0.466092308,0.7574,0.577066667,0.8676,,,,,,,,,
0.52,2,0.4988,0.5752,0.57605178,0.5696,0.572807723,0.4192,,,,,,,,,
0.35,1,0.499,0.4361,0.460462814,0.7442,0.568916749,0.872,,,,,,,,,
0.03,19,0.9989,0.5191,0.515689174,0.6278,0.56624876,0.5896,,,,,,,,,
0.03,27,0.9989,0.4868,0.490288405,0.6664,0.564937267,0.6928,,,,,,,,,
0.02,52,0.5001,0.5368,0.533034111,0.5938,0.561778619,0.5202,,,,,,,,,
0.39,1,0.4988,0.5546,0.552927491,0.5704,0.56152786,0.4612,,,,,,,,,
0.3,2,0.9988,0.4094,0.445878136,0.7464,0.558264772,0.9276,,,,,,,,,
0.08,14,0.5001,0.5056,0.504654255,0.6072,0.551198257,0.596,,,,,,,,,
0.04,17,0.5001,0.5043,0.503573209,0.606,0.550059,0.5974,,,,,,,,,
0.06,23,0.5001,0.495,0.495965139,0.6146,0.548946052,0.6246,,,,,,,,,
0.43,2,0,0.599,0.628371369,0.4846,0.547199639,0.2866,,,,,,,,,
0.03,29,0.5001,0.483,0.486710444,0.6226,0.546332046,0.6566,,,,,,,,,
0.04,7,0.5001,0.4772,0.482509972,0.629,0.546101754,0.6746,,,,,,,,,
0.04,30,0.499,0.4881,0.490514905,0.6154,0.545906147,0.6392,,,,,,,,,
0.05,16,0.5001,0.4816,0.485660848,0.6232,0.545900491,0.66,,,,,,,,,
0.05,15,0.4983,0.5441,0.544161827,0.5434,0.543780646,0.4552,,,,,,,,,
0.06,31,0.5001,0.5182,0.516402307,0.573,0.543230944,0.5366,,,,,,,,,
0.01,7,0.5001,0.4595,0.470364408,0.6428,0.54322657,0.7238,,,,,,,,,
0.09,10,0.5001,0.5153,0.513672922,0.5748,0.542520057,0.5442,,,,,,,,,
0.04,26,0.5001,0.4654,0.474055189,0.6322,0.541823792,0.7014,,,,,,,,,
0.03,24,0.5001,0.4966,0.497151475,0.5934,0.541028446,0.6002,,,,,,,,,
0.14,11,0.4988,0.5254,0.523845287,0.558,0.540383498,0.5072,,,,,,,,,
0.06,9,0.5001,0.5313,0.530276649,0.5482,0.539089389,0.4856,,,,,,,,,
0.02,68,0.5146,0.4929,0.494072466,0.5918,0.538538539,0.606,,,,,,,,,
0.04,6,0.5001,0.4288,0.45170917,0.666,0.538312318,0.8084,,,,,,,,,
0.04,34,0.4987,0.518,0.516550202,0.5618,0.538225714,0.5258,,,,,,,,,
0.01,17,0.5001,0.4915,0.492929629,0.5926,0.538189084,0.6096,,,,,,,,,
0.02,34,0.5001,0.4887,0.490693461,0.5958,0.538162768,0.6184,,,,,,,,,
0.16,24,0.5001,0.5278,0.526607963,0.5502,0.53814554,0.4946,,,,,,,,,
0.09,25,0.4985,0.5177,0.516277359,0.5614,0.537894031,0.526,,,,,,,,,
0.02,14,0.4986,0.5247,0.523421202,0.552,0.537330867,0.5026,,,,,,,,,
0.03,42,0.4985,0.5019,0.501654764,0.576,0.536262918,0.5722,,,,,,,,,
0.06,36,0.5001,0.4135,0.443441873,0.6782,0.536253657,0.8512,,,,,,,,,
0.01,31,0.5001,0.4726,0.478479422,0.6092,0.535984515,0.664,,,,,,,,,
0.03,28,0.5001,0.3951,0.434641745,0.6976,0.535585413,0.9074,,,,,,,,,
0.03,30,0.5001,0.5073,0.506516693,0.5674,0.535232525,0.5528,,,,,,,,,
0.07,36,0.5001,0.48,0.483829237,0.5984,0.535050072,0.6384,,,,,,,,,
0.13,6,0.5001,0.5307,0.530186824,0.5392,0.534655429,0.4778,,,,,,,,,
0.06,50,0.4985,0.5373,0.537730123,0.5316,0.534647491,0.457,,,,,,,,,
0.09,26,0.5001,0.4588,0.468872771,0.6206,0.534171114,0.703,,,,,,,,,
0.1,24,0.5001,0.509,0.508146271,0.5614,0.533447358,0.5434,,,,,,,,,
0.07,15,0.5001,0.4928,0.493858751,0.579,0.533051003,0.5934,,,,,,,,,
0.11,5,0.5012,0.3889,0.431292517,0.6974,0.532976691,0.9196,,,,,,,,,
0.04,22,0.5001,0.4924,0.493488691,0.576,0.531561462,0.5912,,,,,,,,,
0.04,32,0.5001,0.4832,0.485995332,0.583,0.530096381,0.6166,,,,,,,,,
0.08,17,0.4989,0.4091,0.439984154,0.6664,0.530024656,0.8482,,,,,,,,,
0.04,38,0.5001,0.498,0.498230088,0.563,0.528638498,0.567,,,,,,,,,
0.07,27,0.5001,0.4996,0.499643494,0.5606,0.528369463,0.5614,,,,,,,,,
0.06,29,0.499,0.4765,0.48059455,0.582,0.526458616,0.629,,,,,,,,,
0.17,3,0.5008,0.4501,0.462237021,0.6108,0.526234169,0.7106,,,,,,,,,
0.06,6,0.5001,0.4104,0.439687668,0.6532,0.525587383,0.8324,,,,,,,,,
0.21,5,0.5001,0.3865,0.428300695,0.678,0.524970964,0.905,,,,,,,,,
0.01,6,0.5001,0.3852,0.427671371,0.6788,0.524737168,0.9084,,,,,,,,,
0.09,14,0.5001,0.4796,0.48281092,0.573,0.524053411,0.6138,,,,,,,,,
0.15,31,0.4831,0.5146,0.514054678,0.534,0.523837552,0.5048,,,,,,,,,
0.04,24,0.5001,0.3891,0.429173585,0.672,0.523813236,0.8938,,,,,,,,,
0.02,28,0.5,0.3836,0.426440849,0.6748,0.522614622,0.9076,,,,,,,,,
0.08,9,0.4985,0.527,0.527528548,0.5174,0.522415186,0.4634,,,,,,,,,
0.03,16,0.4985,0.4994,0.499450147,0.545,0.521231829,0.5462,,,,,,,,,
0.01,20,0.5001,0.4836,0.485788562,0.5606,0.520519963,0.5934,,,,,,,,,
0.11,23,0.4985,0.5098,0.509408602,0.5306,0.519788401,0.511,,,,,,,,,
0.06,12,0.5146,0.4822,0.48434752,0.5508,0.515440764,0.5864,,,,,,,,,
0.04,25,0.5001,0.4127,0.438650738,0.6242,0.515229055,0.7988,,,,,,,,,
0.08,8,0.4986,0.4932,0.493701371,0.533,0.512598577,0.5466,,,,,,,,,
0.07,35,0.4989,0.5003,0.500287522,0.522,0.510913184,0.5214,,,,,,,,,
