self_radius,self_count,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.07,10,1,0.5697,0.54861208,0.7866,0.646396581,0.6472,,,,,,,,,
0.07,25,1,0.59,0.568954949,0.7426,0.644282492,0.5626,,,,,,,,,
0.13,18,1,0.5155,0.509236086,0.8546,0.638189829,0.8236,,,,,,,,,
0.07,30,1,0.5536,0.536702273,0.7838,0.637132174,0.6766,,,,,,,,,
0.08,72,0.9983,0.5873,0.568686074,0.7228,0.636547776,0.5482,,,,,,,,,
0.04,16,1,0.5864,0.570061628,0.703,0.629589826,0.5302,,,,,,,,,
0.34,2,1,0.4732,0.485380755,0.8898,0.628123676,0.9434,,,,,,,,,
0.07,31,1,0.5319,0.521556967,0.7718,0.622469554,0.708,,,,,,,,,
0.07,22,1,0.5453,0.532604002,0.74,0.61940236,0.6494,,,,,,,,,
0.05,27,1,0.5418,0.529985653,0.7388,0.617209691,0.6552,,,,,,,,,
0.17,7,1,0.539,0.527761959,0.7414,0.616600133,0.6634,,,,,,,,,
0.28,5,1,0.4699,0.482907439,0.8504,0.616008693,0.9106,,,,,,,,,
0.09,19,0.2417,0.5614,0.548013763,0.7008,0.615060558,0.578,,,,,,,,,
0.04,27,0.9999,0.5267,0.518300206,0.7562,0.615046767,0.7028,,,,,,,,,
0.11,13,1,0.5324,0.522849083,0.7414,0.613234078,0.6766,,,,,,,,,
0.4,1,0.9983,0.4574,0.476406735,0.8602,0.613202167,0.9454,,,,,,,,,
0.12,5,1,0.5244,0.51683223,0.7492,0.611691705,0.7004,,,,,,,,,
0.01,38,0.9997,0.5279,0.519617494,0.739,0.610189084,0.6832,,,,,,,,,
0.36,5,0.9988,0.5787,0.567973743,0.6576,0.609509686,0.5002,,,,,,,,,
0.18,13,0.2395,0.5603,0.548480463,0.6822,0.608075586,0.5616,,,,,,,,,
0.01,11,1,0.5493,0.538045995,0.6972,0.60736998,0.5986,,,,,,,,,
0.17,5,1,0.4916,0.494692949,0.783,0.606318724,0.7998,,,,,,,,,
0.37,1,1,0.4679,0.481088724,0.8166,0.605471936,0.8808,,,,,,,,,
