self_radius,self_count,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,,
0.06,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.07,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.07,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.07,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.07,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.08,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.08,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.08,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.09,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.09,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.09,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.09,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.09,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.1,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.11,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.11,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.11,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.11,4,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.12,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.12,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.12,3,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.12,5,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.13,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.13,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.14,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.14,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.15,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.15,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.16,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.16,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.17,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.18,2,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.19,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.21,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.23,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.24,1,1,0.5,0.5,1,0.666666667,1,,,,,,,,,,
0.23,2,1,0.4999,0.499949995,0.9998,0.666577772,1,,,,,,,,,,
0.17,1,1,0.5,0.5,0.9994,0.66653328,0.9994,,,,,,,,,,
0.07,5,1,0.5003,0.500150225,0.9988,0.6665332,0.9982,,,,,,,,,,
0.1,2,1,0.5,0.5,0.999,0.666444296,0.999,,,,,,,,,,
0.22,1,1,0.5,0.5,0.999,0.666444296,0.999,,,,,,,,,,
0.02,11,0.7877,0.5876,0.559494703,0.8238,0.666397023,0.6486,,,,,,,,,,
0.19,4,1,0.4995,0.499749775,0.9986,0.666133013,0.9996,,,,,,,,,,
0.25,2,1,0.5081,0.504162812,0.981,0.666032996,0.9648,,,,,,,,,,
0.18,1,1,0.5019,0.500958338,0.9932,0.665996111,0.9894,,,,,,,,,,
0.05,21,0.9938,0.5309,0.517100166,0.9344,0.665764161,0.8726,,,,,,,,,,
0.15,3,1,0.4991,0.499549143,0.9972,0.665643148,0.999,,,,,,,,,,
0.24,2,1,0.4991,0.499549053,0.997,0.665598505,0.9988,,,,,,,,,,
0.01,29,1,0.499,0.49949779,0.9946,0.665017384,0.9966,,,,,,,,,,
0.27,2,0.9938,0.4995,0.499748314,0.9928,0.664836269,0.9938,,,,,,,,,,
0.03,79,0.7864,0.5939,0.566080225,0.8044,0.664518794,0.6166,,,,,,,,,,
0.32,1,1,0.5003,0.500151653,0.9894,0.664428178,0.9888,,,,,,,,,,
0.05,19,0.9737,0.5147,0.50780835,0.956,0.663290085,0.9266,,,,,,,,,,
0.02,15,0.9769,0.5102,0.505352645,0.963,0.66285793,0.9426,,,,,,,,,,
0.13,5,1,0.5045,0.502321263,0.9738,0.662764582,0.9648,,,,,,,,,,
0.1,4,0.9967,0.4968,0.498386772,0.9886,0.662689369,0.995,,,,,,,,,,
0.02,42,0.9722,0.5116,0.506123311,0.9588,0.66252073,0.9356,,,,,,,,,,
0.16,5,0.9967,0.4988,0.499388504,0.98,0.661625709,0.9824,,,,,,,,,,
0.17,3,1,0.4987,0.499336396,0.9782,0.661169314,0.9808,,,,,,,,,,
0.03,6,1,0.4937,0.496819146,0.984,0.660269744,0.9966,,,,,,,,,,
0.15,4,1,0.4999,0.499948544,0.9716,0.660188897,0.9718,,,,,,,,,,
0.03,20,0.9683,0.5056,0.50293501,0.9596,0.65997249,0.9484,,,,,,,,,,
0.03,37,0.9759,0.5222,0.512303259,0.9244,0.65924975,0.88,,,,,,,,,,
0.01,35,0.9484,0.5071,0.503762586,0.9506,0.658538275,0.9364,,,,,,,,,,
0.3,1,0.9484,0.4996,0.499790664,0.955,0.656176996,0.9558,,,,,,,,,,
0.13,3,1,0.5378,0.524088708,0.8224,0.640199284,0.7468,,,,,,,,,,
0.3,2,0.7804,0.5059,0.50341001,0.871,0.638048495,0.8592,,,,,,,,,,
0.06,15,1,0.5383,0.525313946,0.7948,0.632550736,0.7182,,,,,,,,,,
0.1,6,1,0.5032,0.501895285,0.8474,0.630412141,0.841,,,,,,,,,,
0.44,2,0.9997,0.4883,0.493226815,0.852,0.624770844,0.8754,,,,,,,,,,
0.38,1,0.3101,0.5612,0.54583583,0.7288,0.624186365,0.6064,,,,,,,,,,
0.01,10,0.3482,0.5376,0.526009961,0.7604,0.621851488,0.6852,,,,,,,,,,
0.1,31,1,0.5216,0.514199316,0.7822,0.620498175,0.739,,,,,,,,,,
0.41,2,0.7846,0.536,0.524979184,0.7566,0.619859086,0.6846,,,,,,,,,,
0.03,19,0.3108,0.5442,0.531752874,0.7402,0.618896321,0.6518,,,,,,,,,,
0.08,20,0.3471,0.5485,0.535551972,0.7306,0.618052618,0.6336,,,,,,,,,,
0.39,2,0.9997,0.5557,0.542203364,0.7156,0.616949737,0.6042,,,,,,,,,,
0.35,2,0.8816,0.5724,0.558996089,0.686,0.616020115,0.5412,,,,,,,,,,
0.06,8,0.3103,0.5272,0.51867106,0.7556,0.615109085,0.7012,,,,,,,,,,
0.27,4,1,0.456,0.475690608,0.861,0.612811388,0.949,,,,,,,,,,
0.27,5,0.9569,0.513,0.508584258,0.7702,0.612631244,0.7442,,,,,,,,,,
0.26,1,1,0.4504,0.472943487,0.867,0.612028801,0.9662,,,,,,,,,,
0.28,1,0.9486,0.5232,0.515934066,0.7512,0.611726384,0.7048,,,,,,,,,,
0.04,31,0.7875,0.5622,0.55,0.6842,0.609803922,0.5598,,,,,,,,,,
0.04,30,0.193,0.5639,0.551774429,0.681,0.60961418,0.5532,,,,,,,,,,
0.18,5,0.9992,0.5326,0.523575354,0.724,0.607688434,0.6588,,,,,,,,,,
0.02,32,0.3103,0.5123,0.508336722,0.75,0.605962673,0.7254,,,,,,,,,,
0.41,4,0.9979,0.4993,0.499544211,0.7672,0.605095039,0.7686,,,,,,,,,,
0.12,8,0.7703,0.5732,0.563081696,0.6534,0.604887984,0.507,,,,,,,,,,
0.03,58,0.2679,0.5264,0.519213974,0.7134,0.601010952,0.6606,,,,,,,,,,
0.01,8,0.3103,0.5086,0.505883963,0.7394,0.600747481,0.7222,,,,,,,,,,
0.14,28,0.7212,0.5921,0.589365418,0.6074,0.598246824,0.4232,,,,,,,,,,
0.03,8,0.3103,0.4553,0.473795287,0.8082,0.597383399,0.8976,,,,,,,,,,
0.12,29,0.3092,0.4472,0.46961326,0.816,0.596142607,0.9216,,,,,,,,,,
0.01,38,0.3104,0.4671,0.47968885,0.777,0.593175052,0.8428,,,,,,,,,,
0.27,3,0.3058,0.4331,0.462529405,0.8258,0.592948948,0.9596,,,,,,,,,,
0.05,12,0.9967,0.5073,0.505140121,0.7174,0.592843567,0.7028,,,,,,,,,,
0.07,17,0.193,0.5284,0.521600243,0.6858,0.592534992,0.629,,,,,,,,,,
0.05,39,0.2828,0.5212,0.515755054,0.694,0.591746248,0.6516,,,,,,,,,,
0.22,3,0.3071,0.4732,0.483042268,0.7634,0.591691211,0.817,,,,,,,,,,
0.15,23,0.7866,0.5333,0.526003436,0.6736,0.59072174,0.607,,,,,,,,,,
0.25,1,0.7856,0.4904,0.493502978,0.7292,0.588634162,0.7484,,,,,,,,,,
0.08,3,0.3103,0.4157,0.453969641,0.8314,0.587271315,1,,,,,,,,,,
0.02,31,0.9486,0.507,0.505046136,0.7006,0.586963807,0.6866,,,,,,,,,,
0.02,52,0.2818,0.4631,0.476917303,0.7624,0.586777496,0.8362,,,,,,,,,,
0.01,14,0.304,0.4419,0.465819508,0.7918,0.586561968,0.908,,,,,,,,,,
0.36,1,0.8827,0.4426,0.465922584,0.7848,0.584711667,0.8996,,,,,,,,,,
0.03,69,0.9966,0.4269,0.457176333,0.7804,0.576579239,0.9266,,,,,,,,,,
0.08,33,0.0976,0.5334,0.527945114,0.631,0.574890671,0.5642,,,,,,,,,,
0.02,66,0.1938,0.4478,0.467219292,0.744,0.573985496,0.8484,,,,,,,,,,
0.08,39,0.0546,0.5511,0.546311401,0.6028,0.573167253,0.5006,,,,,,,,,,
0.04,6,0.9764,0.4128,0.449781156,0.781,0.570822979,0.9554,,,,,,,,,,
0.48,2,0.5445,0.4395,0.461381335,0.7228,0.563235409,0.8438,,,,,,,,,,
0.31,2,0.8825,0.4343,0.458496526,0.7258,0.561982191,0.8572,,,,,,,,,,
0.04,25,0.1919,0.4572,0.470804911,0.6902,0.559772912,0.7758,,,,,,,,,,
0.05,11,0.3103,0.4943,0.495468278,0.6232,0.552041811,0.6346,,,,,,,,,,
0.1,16,0.3103,0.5031,0.502548923,0.6112,0.551574768,0.605,,,,,,,,,,
0.06,14,0.3119,0.5069,0.505770196,0.6048,0.550869842,0.591,,,,,,,,,,
0.08,32,0.3103,0.5002,0.500163399,0.6122,0.550539568,0.6118,,,,,,,,,,
0.07,21,0.3102,0.4972,0.497723577,0.6122,0.549058296,0.6178,,,,,,,,,,
0.05,17,0.3022,0.5346,0.532543266,0.5662,0.548856146,0.497,,,,,,,,,,
0.14,11,0.3086,0.4975,0.497953168,0.6082,0.547582606,0.6132,,,,,,,,,,
0.03,16,0.3102,0.4865,0.489368404,0.6214,0.547537228,0.6484,,,,,,,,,,
0.03,36,0.2908,0.5134,0.511668408,0.5876,0.54701173,0.5608,,,,,,,,,,
0.05,33,0.3098,0.4827,0.486473808,0.6222,0.54602896,0.6568,,,,,,,,,,
0.02,17,0.3102,0.4796,0.484181141,0.6244,0.545422781,0.6652,,,,,,,,,,
0.04,23,0.3103,0.4756,0.481282602,0.6274,0.544712624,0.6762,,,,,,,,,,
0.01,31,0.3103,0.4697,0.477207763,0.6344,0.54468962,0.695,,,,,,,,,,
0.03,7,0.3103,0.4661,0.474742959,0.6372,0.544103834,0.705,,,,,,,,,,
0.23,3,0.2739,0.5338,0.532363079,0.556,0.543924868,0.4884,,,,,,,,,,
0.01,39,0.2672,0.523,0.521233383,0.5646,0.542050691,0.5186,,,,,,,,,,
0.09,6,0.3103,0.4466,0.462256149,0.654,0.541659765,0.7608,,,,,,,,,,
0.02,39,0.3018,0.5118,0.510501958,0.5736,0.54021473,0.55,,,,,,,,,,
0.08,26,0.2819,0.5219,0.520319169,0.5608,0.539801713,0.517,,,,,,,,,,
0.01,21,0.3102,0.5082,0.507210693,0.5768,0.539771664,0.5604,,,,,,,,,,
0.2,27,0.2838,0.5489,0.550969356,0.5286,0.539552924,0.4308,,,,,,,,,,
0.06,9,0.2589,0.5307,0.529627485,0.5488,0.539043316,0.4874,,,,,,,,,,
0.09,27,0.3103,0.5083,0.507333451,0.5742,0.53869969,0.5576,,,,,,,,,,
0.01,19,0.3102,0.5083,0.507359461,0.5722,0.537832503,0.5556,,,,,,,,,,
0.04,12,0.3102,0.4049,0.439202148,0.687,0.535839638,0.8772,,,,,,,,,,
0.13,32,0.2655,0.5417,0.542804352,0.5288,0.535710668,0.4454,,,,,,,,,,
0.02,14,0.3106,0.394,0.43412876,0.6986,0.535489805,0.9106,,,,,,,,,,
0.27,1,0.3102,0.5104,0.509393064,0.564,0.535307517,0.5432,,,,,,,,,,
0.04,21,0.2818,0.5142,0.513051471,0.5582,0.53467433,0.5298,,,,,,,,,,
0.07,59,0.3098,0.3932,0.433565564,0.697,0.534591195,0.9106,,,,,,,,,,
0.01,37,0.3103,0.485,0.487627846,0.5912,0.534442235,0.6212,,,,,,,,,,
0.01,28,0.3102,0.4323,0.452597675,0.6464,0.532410839,0.7818,,,,,,,,,,
0.01,11,0.2818,0.5006,0.500528914,0.5678,0.532046477,0.5666,,,,,,,,,,
0.04,28,0.2669,0.4656,0.473108193,0.6052,0.531063531,0.674,,,,,,,,,,
0.03,30,0.2782,0.4927,0.493718809,0.5738,0.530755712,0.5884,,,,,,,,,,
0.06,6,0.3108,0.3886,0.430617838,0.6914,0.530703101,0.9142,,,,,,,,,,
0.17,5,0.2815,0.4844,0.486960883,0.5826,0.530504462,0.6138,,,,,,,,,,
0.01,42,0.2816,0.4796,0.483207112,0.587,0.530070435,0.6278,,,,,,,,,,
0.2,4,0.3101,0.4028,0.436586639,0.6692,0.528427037,0.8636,,,,,,,,,,
0.22,4,0.3102,0.4155,0.442711864,0.653,0.527676768,0.822,,,,,,,,,,
0.04,27,0.2674,0.5038,0.503460838,0.5528,0.526978074,0.5452,,,,,,,,,,
0.16,42,0.7857,0.5272,0.527309237,0.5252,0.526252505,0.4708,,,,,,,,,,
0.13,30,0.3089,0.5034,0.50310559,0.5508,0.525873592,0.544,,,,,,,,,,
0.18,7,0.9736,0.474,0.478547855,0.58,0.524412297,0.632,,,,,,,,,,
0.02,37,0.2818,0.5065,0.506048762,0.5438,0.524245638,0.5308,,,,,,,,,,
0.26,4,0.3102,0.3895,0.428993703,0.6676,0.522337845,0.8886,,,,,,,,,,
0.08,6,0.2586,0.4772,0.480808081,0.5712,0.522120658,0.6168,,,,,,,,,,
0.03,13,0.2588,0.4762,0.479986546,0.5708,0.52146903,0.6184,,,,,,,,,,
0.01,41,0.3098,0.4044,0.43510725,0.641,0.518356785,0.8322,,,,,,,,,,
0.11,27,0.1904,0.5145,0.514497101,0.5146,0.514548545,0.4856,,,,,,,,,,
0.07,18,0.0977,0.5149,0.515263266,0.503,0.509057788,0.4732,,,,,,,,,,
0.04,40,0.1914,0.4881,0.488958991,0.527,0.507267302,0.5508,,,,,,,,,,
0.03,48,0.1863,0.4308,0.446472772,0.5772,0.503489184,0.7156,,,,,,,,,,
0.08,16,0.4454,0.4217,0.440959131,0.5848,0.502794257,0.7414,,,,,,,,,,
0.11,10,0.0944,0.5012,0.501235585,0.4868,0.493912338,0.4844,,,,,,,,,,
0.26,5,0.0971,0.4113,0.432752085,0.5708,0.492281156,0.7482,,,,,,,,,,
0.02,76,0.0957,0.5074,0.507882403,0.4768,0.491850629,0.462,,,,,,,,,,
0.06,26,0.3096,0.4486,0.454943899,0.519,0.484865471,0.6218,,,,,,,,,,
0.04,72,0.1925,0.4591,0.460574513,0.4778,0.469029155,0.5596,,,,,,,,,,
0.04,96,0.1936,0.4315,0.439964943,0.502,0.468939748,0.639,,,,,,,,,,
0.47,2,0.0965,0.4547,0.456349971,0.4736,0.464814997,0.5642,,,,,,,,,,
0.03,42,0.097,0.4627,0.46223932,0.4566,0.459402354,0.5312,,,,,,,,,,
0.43,1,0.0886,0.4825,0.480455662,0.4302,0.453941121,0.4652,,,,,,,,,,
0.1,25,0.3104,0.4415,0.443060152,0.4552,0.449048042,0.5722,,,,,,,,,,
0.08,42,0.0958,0.454,0.452361226,0.4368,0.444444444,0.5288,,,,,,,,,,
