threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.22,1,0.7432,0.668982768,0.9628,0.78943916,0.4764,,,,,,,,,
0.42,0.9897084,0.7476,0.677211566,0.9462,0.789420991,0.451,,,,,,,,,
0.3,1,0.7449,0.672149585,0.9562,0.789399818,0.4664,,,,,,,,,
0.29,1,0.7447,0.671815756,0.9568,0.789373814,0.4674,,,,,,,,,
0.2,1,0.7426,0.66809867,0.9642,0.789292731,0.479,,,,,,,,,
0.37,0.9897084,0.7462,0.67475866,0.9506,0.789272667,0.4582,,,,,,,,,
0.18,1,0.7421,0.667265441,0.9658,0.78924573,0.4816,,,,,,,,,
0.31,1,0.7449,0.672391947,0.9552,0.789225812,0.4654,,,,,,,,,
0.43,0.9897084,0.7474,0.677271424,0.9452,0.789113375,0.4504,,,,,,,,,
0.19,1,0.742,0.66735823,0.965,0.789043336,0.481,,,,,,,,,
0.32,1,0.7448,0.672588832,0.954,0.788951373,0.4644,,,,,,,,,
0.33,1,0.745,0.673022599,0.953,0.788907285,0.463,,,,,,,,,
0.36,0.9897084,0.7455,0.673990078,0.951,0.78888428,0.46,,,,,,,,,
0.35,0.9897084,0.7454,0.673845282,0.9512,0.788853873,0.4604,,,,,,,,,
0.21,1,0.7422,0.668007769,0.963,0.788826999,0.4786,,,,,,,,,
0.34,0.9897084,0.7453,0.673700609,0.9514,0.788823481,0.4608,,,,,,,,,
0.28,1,0.7437,0.67082574,0.957,0.788757933,0.4696,,,,,,,,,
1.19,0.9639794,0.7952,0.817146541,0.7606,0.787859954,0.1702,,,,,,,,,
1.2,0.9622642,0.7919,0.818737716,0.7498,0.782753941,0.166,,,,,,,,,
1.21,0.9605489,0.7896,0.822638146,0.7384,0.778246206,0.1592,,,,,,,,,
1.22,0.95883363,0.7867,0.823808448,0.7294,0.773735016,0.156,,,,,,,,,
1.23,0.9554031,0.7832,0.825517241,0.7182,0.768128342,0.1518,,,,,,,,,
1.24,0.95368785,0.7809,0.828538012,0.7084,0.763773585,0.1466,,,,,,,,,
1.25,0.94682676,0.7779,0.830597192,0.6982,0.758665653,0.1424,,,,,,,,,
1.26,0.9433962,0.7766,0.83357453,0.6912,0.755740214,0.138,,,,,,,,,
1.27,0.93996567,0.776,0.837078652,0.6854,0.753683748,0.1334,,,,,,,,,
1.28,0.9348199,0.7749,0.840307007,0.6788,0.750968027,0.129,,,,,,,,,
1.29,0.9296741,0.7731,0.84231637,0.672,0.747580376,0.1258,,,,,,,,,
1.3,0.92624354,0.7707,0.844489692,0.6636,0.743196327,0.1222,,,,,,,,,
1.31,0.92624354,0.7698,0.84839876,0.657,0.740532011,0.1174,,,,,,,,,
1.32,0.92624354,0.7696,0.85177453,0.6528,0.739130435,0.1136,,,,,,,,,
1.33,0.92281306,0.7682,0.855137712,0.6458,0.735870556,0.1094,,,,,,,,,
1.34,0.92109776,0.7664,0.858257127,0.6382,0.732048635,0.1054,,,,,,,,,
1.35,0.92109776,0.7659,0.860395771,0.6348,0.730578893,0.103,,,,,,,,,
1.36,0.9193825,0.7649,0.863773689,0.629,0.727925009,0.0992,,,,,,,,,
1.37,0.9176672,0.7632,0.864745011,0.624,0.724907063,0.0976,,,,,,,,,
1.38,0.9142367,0.7618,0.866461366,0.619,0.722118525,0.0954,,,,,,,,,
