threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.279,1,0.5253,0.51310202,0.9908,0.676083248,0.9402,,,,,,,,,
0.277,1,0.5243,0.512560736,0.9916,0.675799087,0.943,,,,,,,,,
0.276,1,0.5239,0.512348868,0.9916,0.675614908,0.9438,,,,,,,,,
0.274,1,0.5236,0.512190083,0.9916,0.675476839,0.9444,,,,,,,,,
0.275,1,0.5236,0.512190083,0.9916,0.675476839,0.9444,,,,,,,,,
0.273,1,0.5234,0.51208428,0.9916,0.675384825,0.9448,,,,,,,,,
0.272,1,0.5232,0.511973576,0.992,0.675381264,0.9456,,,,,,,,,
0.271,1,0.5231,0.511920735,0.992,0.675335285,0.9458,,,,,,,,,
0.27,1,0.5229,0.511812648,0.9922,0.675287552,0.9464,,,,,,,,,
0.269,1,0.5181,0.509273491,0.994,0.673487364,0.9578,,,,,,,,,
0.268,1,0.518,0.509221311,0.994,0.673441734,0.958,,,,,,,,,
0.267,1,0.5179,0.509169143,0.994,0.673396111,0.9582,,,,,,,,,
0.266,1,0.5177,0.509064837,0.994,0.673304884,0.9586,,,,,,,,,
0.264,1,0.5176,0.5090127,0.994,0.673259279,0.9588,,,,,,,,,
0.265,1,0.5176,0.5090127,0.994,0.673259279,0.9588,,,,,,,,,
0.263,1,0.5172,0.508804259,0.994,0.673076923,0.9596,,,,,,,,,
0.262,1,0.5171,0.508750384,0.9942,0.673075621,0.96,,,,,,,,,
0.26,1,0.5167,0.508542199,0.9942,0.672893401,0.9608,,,,,,,,,
0.261,1,0.5167,0.508542199,0.9942,0.672893401,0.9608,,,,,,,,,
0.257,1,0.5102,0.505170316,0.9966,0.67047901,0.9762,,,,,,,,,
0.258,1,0.5102,0.505171365,0.9964,0.670434666,0.976,,,,,,,,,
0.259,1,0.5102,0.505171365,0.9964,0.670434666,0.976,,,,,,,,,
0.256,1,0.5089,0.504504505,0.9968,0.669937496,0.979,,,,,,,,,
0.255,1,0.5084,0.504248432,0.997,0.669756818,0.9802,,,,,,,,,
0.254,1,0.5083,0.504197431,0.997,0.669711829,0.9804,,,,,,,,,
0.253,1,0.508,0.504044489,0.997,0.669576897,0.981,,,,,,,,,
0.25,1,0.5076,0.503839159,0.9974,0.669485837,0.9822,,,,,,,,,
0.251,1,0.5075,0.503789027,0.9972,0.669396523,0.9822,,,,,,,,,
0.252,1,0.5074,0.503738884,0.997,0.669307197,0.9822,,,,,,,,,
0.249,1,0.5044,0.502212834,0.9986,0.668317494,0.9898,,,,,,,,,
0.247,1,0.5043,0.502162325,0.9986,0.66827277,0.99,,,,,,,,,
0.248,1,0.5043,0.502162325,0.9986,0.66827277,0.99,,,,,,,,,
0.246,1,0.5041,0.502061337,0.9986,0.668183339,0.9904,,,,,,,,,
0.244,1,0.5039,0.50196039,0.9986,0.668093932,0.9908,,,,,,,,,
0.245,1,0.5039,0.50196039,0.9986,0.668093932,0.9908,,,,,,,,,
0.24,1,0.5038,0.501909932,0.9986,0.668049237,0.991,,,,,,,,,
0.241,1,0.5038,0.501909932,0.9986,0.668049237,0.991,,,,,,,,,
0.242,1,0.5038,0.501909932,0.9986,0.668049237,0.991,,,,,,,,,
