self_radius,self_count,accuracy,precision,recall,f1,far,uc,,,,,,,,,
self_radius,self_count,accuracy,precision,recall,f1,far,uc,,,,,,,,,
0.27,191,0.5664,0.53671754,0.9706,0.691212078,0.8378,1,,,,,,,,,
0.27,201,0.5664,0.53671754,0.9706,0.691212078,0.8378,1,,,,,,,,,
0.33,78,0.5759,0.544526575,0.9282,0.686386157,0.7764,1,,,,,,,,,
0.33,79,0.5759,0.544526575,0.9282,0.686386157,0.7764,1,,,,,,,,,
0.33,80,0.5759,0.544526575,0.9282,0.686386157,0.7764,1,,,,,,,,,
0.33,81,0.5759,0.544526575,0.9282,0.686386157,0.7764,1,,,,,,,,,
0.33,82,0.5759,0.544526575,0.9282,0.686386157,0.7764,1,,,,,,,,,
0.33,83,0.5759,0.544526575,0.9282,0.686386157,0.7764,1,,,,,,,,,
0.33,84,0.5759,0.544526575,0.9282,0.686386157,0.7764,1,,,,,,,,,
0.33,85,0.5759,0.544526575,0.9282,0.686386157,0.7764,1,,,,,,,,,
0.33,86,0.5759,0.544526575,0.9282,0.686386157,0.7764,1,,,,,,,,,
0.33,87,0.5759,0.544526575,0.9282,0.686386157,0.7764,1,,,,,,,,,
0.33,88,0.5759,0.544526575,0.9282,0.686386157,0.7764,1,,,,,,,,,
0.33,89,0.5759,0.544526575,0.9282,0.686386157,0.7764,1,,,,,,,,,
0.33,90,0.5759,0.544526575,0.9282,0.686386157,0.7764,1,,,,,,,,,
0.33,91,0.5759,0.544526575,0.9282,0.686386157,0.7764,1,,,,,,,,,
0.33,92,0.5759,0.544526575,0.9282,0.686386157,0.7764,1,,,,,,,,,
0.33,93,0.5759,0.544526575,0.9282,0.686386157,0.7764,1,,,,,,,,,
0.33,94,0.5759,0.544526575,0.9282,0.686386157,0.7764,1,,,,,,,,,
0.33,95,0.5759,0.544526575,0.9282,0.686386157,0.7764,1,,,,,,,,,
0.33,96,0.5759,0.544526575,0.9282,0.686386157,0.7764,1,,,,,,,,,
0.33,97,0.5759,0.544526575,0.9282,0.686386157,0.7764,1,,,,,,,,,
0.33,98,0.5759,0.544526575,0.9282,0.686386157,0.7764,1,,,,,,,,,
0.33,99,0.5759,0.544526575,0.9282,0.686386157,0.7764,1,,,,,,,,,
0.33,100,0.5759,0.544526575,0.9282,0.686386157,0.7764,1,,,,,,,,,
0.3,78,0.5543,0.52949484,0.9748,0.68623724,0.8662,1,,,,,,,,,
0.3,79,0.5543,0.52949484,0.9748,0.68623724,0.8662,1,,,,,,,,,
0.3,80,0.5543,0.52949484,0.9748,0.68623724,0.8662,1,,,,,,,,,
0.3,81,0.5543,0.52949484,0.9748,0.68623724,0.8662,1,,,,,,,,,
0.3,82,0.5543,0.52949484,0.9748,0.68623724,0.8662,1,,,,,,,,,
0.3,83,0.5543,0.52949484,0.9748,0.68623724,0.8662,1,,,,,,,,,
0.3,84,0.5543,0.52949484,0.9748,0.68623724,0.8662,1,,,,,,,,,
0.3,85,0.5543,0.52949484,0.9748,0.68623724,0.8662,1,,,,,,,,,
0.3,86,0.5543,0.52949484,0.9748,0.68623724,0.8662,1,,,,,,,,,
0.3,87,0.5543,0.52949484,0.9748,0.68623724,0.8662,1,,,,,,,,,
0.3,88,0.5543,0.52949484,0.9748,0.68623724,0.8662,1,,,,,,,,,
0.3,89,0.5543,0.52949484,0.9748,0.68623724,0.8662,1,,,,,,,,,
0.3,90,0.5543,0.52949484,0.9748,0.68623724,0.8662,1,,,,,,,,,
0.3,91,0.5543,0.52949484,0.9748,0.68623724,0.8662,1,,,,,,,,,
0.3,92,0.5543,0.52949484,0.9748,0.68623724,0.8662,1,,,,,,,,,
0.3,93,0.5543,0.52949484,0.9748,0.68623724,0.8662,1,,,,,,,,,
0.3,94,0.5543,0.52949484,0.9748,0.68623724,0.8662,1,,,,,,,,,
0.3,95,0.5543,0.52949484,0.9748,0.68623724,0.8662,1,,,,,,,,,
0.3,96,0.5543,0.52949484,0.9748,0.68623724,0.8662,1,,,,,,,,,
0.3,97,0.5543,0.52949484,0.9748,0.68623724,0.8662,1,,,,,,,,,
0.3,98,0.5543,0.52949484,0.9748,0.68623724,0.8662,1,,,,,,,,,
0.3,99,0.5543,0.52949484,0.9748,0.68623724,0.8662,1,,,,,,,,,
0.3,100,0.5543,0.52949484,0.9748,0.68623724,0.8662,1,,,,,,,,,
0.33,75,0.5729,0.542616626,0.9282,0.684866819,0.7824,1,,,,,,,,,
0.33,76,0.5729,0.542616626,0.9282,0.684866819,0.7824,1,,,,,,,,,
0.33,77,0.5729,0.542616626,0.9282,0.684866819,0.7824,1,,,,,,,,,
0.32,75,0.5491,0.526734183,0.9674,0.682084185,0.8692,1,,,,,,,,,
0.32,76,0.5491,0.526734183,0.9674,0.682084185,0.8692,1,,,,,,,,,
0.32,77,0.5491,0.526734183,0.9674,0.682084185,0.8692,1,,,,,,,,,
0.29,78,0.5429,0.523002681,0.9754,0.680907504,0.8896,1,,,,,,,,,
0.29,79,0.5429,0.523002681,0.9754,0.680907504,0.8896,1,,,,,,,,,
0.29,80,0.5429,0.523002681,0.9754,0.680907504,0.8896,1,,,,,,,,,
0.29,81,0.5429,0.523002681,0.9754,0.680907504,0.8896,1,,,,,,,,,
0.29,82,0.5429,0.523002681,0.9754,0.680907504,0.8896,1,,,,,,,,,
0.29,83,0.5429,0.523002681,0.9754,0.680907504,0.8896,1,,,,,,,,,
0.29,84,0.5429,0.523002681,0.9754,0.680907504,0.8896,1,,,,,,,,,
0.29,85,0.5429,0.523002681,0.9754,0.680907504,0.8896,1,,,,,,,,,
0.29,86,0.5429,0.523002681,0.9754,0.680907504,0.8896,1,,,,,,,,,
0.29,87,0.5429,0.523002681,0.9754,0.680907504,0.8896,1,,,,,,,,,
0.29,88,0.5429,0.523002681,0.9754,0.680907504,0.8896,1,,,,,,,,,
0.29,89,0.5429,0.523002681,0.9754,0.680907504,0.8896,1,,,,,,,,,
0.29,90,0.5429,0.523002681,0.9754,0.680907504,0.8896,1,,,,,,,,,
