self_radius,self_count,accuracy,precision,recall,f1,far,uc,,,,,,,,,
self_radius,self_count,accuracy,precision,recall,f1,far,uc,,,,,,,,,
0.24,1491,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1501,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1511,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1521,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1531,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1541,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1551,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1561,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1571,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1581,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1591,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1601,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1611,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1621,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1631,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1641,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1651,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1661,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1671,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1681,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1691,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1701,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1711,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1721,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1731,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
0.24,1741,0.5001,0.500050005,1,0.666711114,0.9998,1,,,,,,,,,
