threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.81,0.766838,0.7489,0.705193735,0.8554,0.773068233,0.3576,,,,,,,,,
0.85,0.76286364,0.7494,0.706388613,0.8536,0.773048361,0.3548,,,,,,,,,
0.87,0.76116794,0.7493,0.706682142,0.8524,0.772731393,0.3538,,,,,,,,,
0.86,0.7617508,0.7491,0.706379453,0.8526,0.772632533,0.3544,,,,,,,,,
0.88,0.7601081,0.7493,0.706956666,0.8516,0.772566452,0.353,,,,,,,,,
0.9,0.7593132,0.7495,0.707536184,0.8506,0.772500227,0.3516,,,,,,,,,
0.91,0.7589423,0.7496,0.707861426,0.85,0.772446383,0.3508,,,,,,,,,
0.89,0.7594192,0.7492,0.70704553,0.851,0.772372481,0.3526,,,,,,,,,
0.92,0.75671667,0.7497,0.708256881,0.8492,0.772351069,0.3498,,,,,,,,,
0.93,0.754703,0.7496,0.70855615,0.848,0.772032047,0.3488,,,,,,,,,
1,0.74924487,0.7501,0.710841342,0.8432,0.771384137,0.343,,,,,,,,,
1,0.74924487,0.7501,0.710841342,0.8432,0.771384137,0.343,,,,,,,,,
1.06,0.7443167,0.7514,0.713993871,0.8388,0.771381276,0.336,,,,,,,,,
1.05,0.7448466,0.7511,0.713338997,0.8396,0.771336702,0.3374,,,,,,,,,
0.96,0.75120556,0.7495,0.709558206,0.8448,0.771295535,0.3458,,,,,,,,,
0.99,0.7499338,0.7498,0.710340182,0.8436,0.771256171,0.344,,,,,,,,,
1.01,0.748609,0.75,0.710934863,0.8426,0.771187992,0.3426,,,,,,,,,
0.97,0.7508346,0.7495,0.709769632,0.8442,0.771170184,0.3452,,,,,,,,,
0.95,0.75205344,0.7491,0.708871373,0.8454,0.771139287,0.3472,,,,,,,,,
1.11,0.7408193,0.7523,0.716715341,0.8344,0.771093245,0.3298,,,,,,,,,
0.98,0.75062263,0.7495,0.709910819,0.8438,0.771086539,0.3448,,,,,,,,,
0.94,0.7527423,0.7488,0.708375209,0.8458,0.771011851,0.3482,,,,,,,,,
1.16,0.73626196,0.7533,0.719459366,0.8304,0.770959057,0.3238,,,,,,,,,
1.18,0.73589104,0.7535,0.720013886,0.8296,0.77093207,0.3226,,,,,,,,,
1.17,0.735997,0.7533,0.719535448,0.8302,0.77091652,0.3236,,,,,,,,,
1.15,0.7368449,0.7531,0.719058335,0.8308,0.770900993,0.3246,,,,,,,,,
1.07,0.74415773,0.7511,0.714139519,0.8374,0.770873608,0.3352,,,,,,,,,
1.04,0.7448466,0.7504,0.712491514,0.8396,0.770840984,0.3388,,,,,,,,,
1.1,0.7408193,0.7518,0.715951973,0.8348,0.770821791,0.3312,,,,,,,,,
1.12,0.7386996,0.7523,0.717237816,0.833,0.770796706,0.3284,,,,,,,,,
1.19,0.7345663,0.7534,0.72027121,0.8286,0.770647321,0.3218,,,,,,,,,
1.14,0.7368449,0.7525,0.718010706,0.8316,0.770642202,0.3266,,,,,,,,,
1.02,0.7465953,0.7497,0.711144935,0.841,0.77064052,0.3416,,,,,,,,,
1.03,0.7448996,0.75,0.71193625,0.8398,0.77060011,0.3398,,,,,,,,,
1.2,0.73340046,0.7536,0.720905923,0.8276,0.770577281,0.3204,,,,,,,,,
1.08,0.742462,0.7509,0.714334529,0.8362,0.770478209,0.3344,,,,,,,,,
1.09,0.7412432,0.7511,0.715019695,0.835,0.77036627,0.3328,,,,,,,,,
1.13,0.7371628,0.7521,0.717515099,0.8316,0.770356647,0.3274,,,,,,,,,
1.21,0.73228765,0.7537,0.721572052,0.8262,0.77034965,0.3188,,,,,,,,,
1.28,0.7269885,0.7552,0.726080794,0.8196,0.770011274,0.3092,,,,,,,,,
1.23,0.73159873,0.7538,0.722475456,0.8242,0.769992526,0.3166,,,,,,,,,
1.22,0.73223466,0.7535,0.721707189,0.8252,0.769991602,0.3182,,,,,,,,,
1.25,0.7282603,0.7545,0.724308126,0.8218,0.769980324,0.3128,,,,,,,,,
1.27,0.72788936,0.7549,0.725375774,0.8204,0.769967152,0.3106,,,,,,,,,
1.26,0.72794235,0.7546,0.724752825,0.821,0.76987997,0.3118,,,,,,,,,
1.24,0.7309629,0.754,0.723434201,0.8224,0.769749158,0.3144,,,,,,,,,
1.3,0.72550476,0.7552,0.726642984,0.8182,0.769708373,0.3078,,,,,,,,,
1.29,0.7257167,0.755,0.726144023,0.8188,0.769693551,0.3088,,,,,,,,,
1.31,0.7250278,0.755,0.726868327,0.817,0.769303202,0.307,,,,,,,,,
1.32,0.72428596,0.755,0.727434891,0.8156,0.76899868,0.3056,,,,,,,,,
1.33,0.7229611,0.7546,0.727321429,0.8146,0.768490566,0.3054,,,,,,,,,
1.35,0.7205765,0.7551,0.728871344,0.8124,0.768372269,0.3022,,,,,,,,,
1.34,0.72163635,0.7546,0.727891156,0.8132,0.768184394,0.304,,,,,,,,,
1.39,0.72004664,0.7556,0.731437885,0.8078,0.767724767,0.2966,,,,,,,,,
1.36,0.72052354,0.7546,0.728792236,0.811,0.767701628,0.3018,,,,,,,,,
1.38,0.7202586,0.7552,0.730491329,0.8088,0.767653759,0.2984,,,,,,,,,
1.37,0.7203116,0.7546,0.72912167,0.8102,0.767525578,0.301,,,,,,,,,
1.4,0.7196757,0.7556,0.731941924,0.8066,0.767459562,0.2954,,,,,,,,,
1.43,0.71692014,0.756,0.733747261,0.8036,0.767086674,0.2916,,,,,,,,,
1.45,0.71495944,0.7566,0.735499266,0.8014,0.767036753,0.2882,,,,,,,,,
1.44,0.7153304,0.7563,0.734749954,0.8022,0.766994933,0.2896,,,,,,,,,
1.41,0.7184039,0.7552,0.73216885,0.8048,0.766768293,0.2944,,,,,,,,,
1.46,0.71453553,0.7562,0.735477941,0.8002,0.766475096,0.2878,,,,,,,,,
1.42,0.7171851,0.7551,0.732458538,0.8038,0.766472776,0.2936,,,,,,,,,
1.51,0.71331674,0.7572,0.738501484,0.7964,0.766358737,0.282,,,,,,,,,
1.48,0.7138466,0.7565,0.736667282,0.7984,0.766292351,0.2854,,,,,,,,,
1.5,0.71331674,0.7569,0.738090825,0.7964,0.766137566,0.2826,,,,,,,,,
1.47,0.7141116,0.7561,0.735862958,0.799,0.766132899,0.2868,,,,,,,,,
1.49,0.7134227,0.7565,0.737280296,0.797,0.765977895,0.284,,,,,,,,,
1.52,0.7123629,0.7569,0.738710277,0.795,0.765822175,0.2812,,,,,,,,,
1.53,0.7123629,0.757,0.739292365,0.794,0.765670203,0.28,,,,,,,,,
1.54,0.7111971,0.757,0.739828294,0.7928,0.765398726,0.2788,,,,,,,,,
1.55,0.70971334,0.757,0.740456587,0.7914,0.765081206,0.2774,,,,,,,,,
1.62,0.7058979,0.7587,0.746334032,0.7838,0.764608331,0.2664,,,,,,,,,
1.59,0.7078586,0.7578,0.743759455,0.7866,0.764580093,0.271,,,,,,,,,
1.63,0.70510304,0.7588,0.746852346,0.783,0.764499121,0.2654,,,,,,,,,
1.61,0.7060039,0.7583,0.745672437,0.784,0.76435605,0.2674,,,,,,,,,
1.6,0.7075407,0.7578,0.744221296,0.7856,0.764351041,0.27,,,,,,,,,
1.65,0.7032484,0.7592,0.748561565,0.7806,0.764245154,0.2622,,,,,,,,,
1.56,0.70828253,0.7564,0.740525328,0.7894,0.764181994,0.2766,,,,,,,,,
1.57,0.7080706,0.7568,0.74180791,0.7878,0.764112512,0.2742,,,,,,,,,
1.58,0.7079116,0.757,0.74245283,0.787,0.76407767,0.273,,,,,,,,,
1.64,0.70335436,0.7587,0.747654605,0.781,0.763963611,0.2636,,,,,,,,,
1.66,0.7011287,0.7588,0.748941901,0.7786,0.763483036,0.261,,,,,,,,,
1.67,0.70028085,0.7587,0.749951691,0.7762,0.762850123,0.2588,,,,,,,,,
1.68,0.69943297,0.7588,0.750483933,0.7754,0.76273854,0.2578,,,,,,,,,
1.7,0.69779027,0.7594,0.752432853,0.7732,0.762675084,0.2544,,,,,,,,,
1.69,0.69832015,0.759,0.751358696,0.7742,0.762608353,0.2562,,,,,,,,,
1.73,0.6946108,0.76,0.75570417,0.7684,0.761999207,0.2484,,,,,,,,,
1.72,0.6951407,0.7595,0.75436189,0.7696,0.761904762,0.2506,,,,,,,,,
1.71,0.69625354,0.7591,0.753373753,0.7704,0.761791753,0.2522,,,,,,,,,
1.74,0.6941339,0.7598,0.756111987,0.767,0.761517077,0.2474,,,,,,,,,
1.75,0.6929151,0.7599,0.757072206,0.7654,0.761213327,0.2456,,,,,,,,,
1.77,0.6914843,0.7604,0.758846918,0.7634,0.76111665,0.2426,,,,,,,,,
1.76,0.6914843,0.76,0.757834193,0.7642,0.761003784,0.2442,,,,,,,,,
1.78,0.6893646,0.7604,0.75936255,0.7624,0.760878244,0.2416,,,,,,,,,
1.8,0.68878174,0.7607,0.761065492,0.76,0.760532373,0.2386,,,,,,,,,
1.81,0.6881458,0.761,0.762048193,0.759,0.760521042,0.237,,,,,,,,,
1.79,0.6889937,0.7603,0.759936089,0.761,0.760467673,0.2404,,,,,,,,,
1.82,0.68719196,0.7612,0.762882448,0.758,0.760433387,0.2356,,,,,,,,,
1.85,0.6861852,0.762,0.765827922,0.7548,0.760273973,0.2308,,,,,,,,,
1.86,0.6861852,0.7623,0.766836216,0.7538,0.760262229,0.2292,,,,,,,,,
1.83,0.687086,0.7612,0.763625353,0.7566,0.760096444,0.2342,,,,,,,,,
1.88,0.6858142,0.7626,0.768726975,0.7512,0.759862432,0.226,,,,,,,,,
1.84,0.6861852,0.7613,0.764634393,0.755,0.759786656,0.2324,,,,,,,,,
1.87,0.6859202,0.7621,0.767394409,0.7522,0.75972124,0.228,,,,,,,,,
1.89,0.68321764,0.7622,0.76953125,0.7486,0.75892133,0.2242,,,,,,,,,
1.9,0.68194586,0.7621,0.770039151,0.7474,0.758550695,0.2232,,,,,,,,,
1.91,0.68194586,0.7618,0.770790236,0.7452,0.757779134,0.2216,,,,,,,,,
1.94,0.67956126,0.7619,0.773096976,0.7414,0.756916794,0.2176,,,,,,,,,
1.93,0.68014413,0.7615,0.771999168,0.7422,0.756806363,0.2192,,,,,,,,,
1.92,0.6806741,0.7613,0.771339564,0.7428,0.756800815,0.2202,,,,,,,,,
1.95,0.6779185,0.7612,0.773221757,0.7392,0.755828221,0.2168,,,,,,,,,
1.96,0.6735202,0.7594,0.772708158,0.735,0.753382534,0.2162,,,,,,,,,
1.97,0.67283136,0.7596,0.773724167,0.7338,0.753233422,0.2146,,,,,,,,,
